time,frequency,confidence
0.0,227.91287860210588,0.06577229
0.02,225.14142239123657,0.046460945
0.04,226.8506947938978,0.081383824
0.06,222.57965818476862,0.3241693
0.08,221.64918799440085,0.32072163
0.1,234.0103622308391,0.5888186
0.12,235.12010252691138,0.75439537
0.14,228.97058893691994,0.1972981
0.16,221.91434672334225,0.3855992
0.18,221.38889116399852,0.2806513
0.2,226.4514231595534,0.33955362
0.22,206.49890620875254,0.274346
0.24,200.81706773196964,0.74050593
0.26,202.5807816318017,0.6633637
0.28,222.34544598242903,0.37430614
0.3,250.6388919434295,0.52550185
0.32,281.0843727473248,0.23110902
0.34,264.96683445160505,0.564052
0.36,251.11072662741248,0.16897248
0.38,254.06310727338965,0.34569073
0.4,257.2349956515757,0.063486695
0.42,264.3972655431968,0.18078704
0.44,273.8411787301609,0.36753488
0.46,279.3016532311588,0.4980962
0.48,279.47098398011667,0.7276782
0.5,275.09829416559137,0.79072887
0.52,272.9536933111728,0.84469986
0.54,275.5767812661603,0.75486374
0.56,274.92522396685774,0.49015182
0.58,268.44938858715886,0.8843865
0.6,272.3774436948633,0.41995314
0.62,271.08638267680146,0.10538673
0.64,261.1117804153621,0.074401595
0.66,264.316934181054,0.58086115
0.68,263.311043199102,0.8002633
0.7,265.5696983028648,0.44730577
0.72,273.5778009440431,0.5128633
0.74,273.16766294269576,0.7923857
0.76,268.87125207616816,0.8805499
0.78,266.2112460663353,0.6309532
0.8,236.36799222210345,0.20259239
0.82,215.90597905101208,0.75900984
0.84,215.21267358014285,0.7777298
0.86,219.3294839969086,0.40000093
0.88,235.4630904833461,0.21230638
0.9,240.46514932051096,0.5172086
0.92,250.3596152072974,0.34923053
0.94,251.0165440312852,0.67219496
0.96,260.6789320992291,0.15046173
0.98,274.02723036744555,0.33384055
1.0,277.35277149412923,0.3786899
1.02,268.94159624543937,0.23664854
1.04,249.87400307561904,0.23684108
1.06,220.56568922611063,0.1892357
1.08,211.45894156488202,0.2312718
1.1,200.74223750209543,0.18907914
1.12,193.71633000127477,0.53184545
1.14,196.82694832365812,0.73919415
1.16,197.32866090357587,0.6806004
1.18,200.2971734655771,0.626835
1.2,204.7540515844588,0.831828
1.22,206.01099744276422,0.86234236
1.24,203.1304693464533,0.7527654
1.26,194.68617239314347,0.47518474
1.28,200.4970757834118,0.120348886
1.3,212.4023805749796,0.63123447
1.32,209.97760630252094,0.27037686
1.34,219.49030274782587,0.48766497
1.36,221.61757576816828,0.57390153
1.38,219.4786312748834,0.6521967
1.4,213.72503371459882,0.68153703
1.42,209.40956536819587,0.23033322
1.44,198.74173972334304,0.095806986
1.46,185.21162172509742,0.07863299
1.48,177.57908028178701,0.6850372
1.5,182.94853466985938,0.62710714
1.52,191.278383813721,0.7892458
1.54,189.0793969850999,0.5711421
1.56,174.38861919685218,0.4218433
1.58,157.13914514565656,0.63814974
1.6,144.70814741872937,0.18181585
1.62,159.28935619388017,0.33590332
1.64,168.1655378857232,0.6378395
1.66,171.7127750040505,0.7976203
1.68,168.90442398864994,0.79329187
1.7,159.31482818793035,0.381135
1.72,149.27422211266975,0.5268109
1.74,146.85190754763147,0.54390293
1.76,148.60169082147237,0.33477387
1.78,150.67716896528094,0.50191355
1.8,152.2701368023505,0.7392312
1.82,145.51105520618339,0.34968427
1.84,140.41902478079365,0.33240175
1.86,137.73417538830574,0.17690712
1.88,132.9528341610322,0.3097229
1.9,132.39948892348386,0.6769654
1.92,134.6449988160382,0.7674821
1.94,137.36824435676334,0.84673786
1.96,134.8570425568296,0.77173
1.98,131.64728826439318,0.7224309
2.0,132.77427984188074,0.65405035
2.02,147.4464551728244,0.36883175
2.04,158.70187252095238,0.41525424
2.06,182.26217576658183,0.44059417
2.08,201.3638656719877,0.7176266
2.1,220.61625289054834,0.52613056
2.12,239.35944782887532,0.40534797
2.14,226.44747887565327,0.24145405
2.16,225.0891425601341,0.3182284
2.18,228.6075601931071,0.18655947
2.2,228.02079453905748,0.18286084
2.22,226.73363646588288,0.0870477
2.24,222.0722070142115,0.20183139
2.26,227.08869355251366,0.24366568
2.28,231.64027204814028,0.5934592
2.3,232.5598651219933,0.5561303
2.32,230.92992992104547,0.6459055
2.34,228.89288013577175,0.50379324
2.36,227.03913187715472,0.2846847
2.38,240.8671733791266,0.1504521
2.4,263.2616873475612,0.13989657
2.42,234.65655417534583,0.23229253
2.44,224.65809266672528,0.36989486
2.46,229.40065185625394,0.21951777
2.48,223.51091255053677,0.16255149
2.5,219.41336220468008,0.3774436
2.52,209.466859886756,0.18047208
2.54,207.32567373450163,0.44565576
2.56,204.08594971498474,0.2962227
2.58,218.28350168959298,0.32149473
2.6,238.94735117421217,0.20328484
2.62,250.03028325079126,0.29635957
2.64,240.0293909637902,0.15575905
2.66,231.48825342473208,0.22139879
2.68,232.6365557293293,0.13116485
2.7,245.26206643427747,0.45804638
2.72,243.6799791751924,0.18124135
2.74,241.79115541758034,0.36501005
2.76,238.65978560561155,0.3125585
2.78,263.40930263056697,0.39222178
2.8,303.0934980774109,0.48454604
2.82,314.1010087367424,0.5561398
2.84,349.4456001219995,0.6874678
2.86,380.774350715142,0.78515065
2.88,425.50962850036257,0.68681175
2.9,462.1634134610579,0.24372335
2.92,518.055234632361,0.17080253
2.94,547.0592346197271,0.67304265
2.96,550.4166473305845,0.87945133
2.98,553.6249325642724,0.8245002
3.0,553.5168985101107,0.857636
3.02,550.858900727009,0.89499426
3.04,547.5690158495008,0.87547475
3.06,546.4355555589298,0.75208807
3.08,538.4570376562315,0.18301427
3.1,541.1669567417001,0.393494
3.12,546.8439598519142,0.5980505
3.14,545.3687253553696,0.7239349
3.16,543.7177608799898,0.85959554
3.18,542.6339245915218,0.7691214
3.2,547.0498911214947,0.47863248
3.22,534.0848918688483,0.27613145
3.24,549.6919971691987,0.70775795
3.26,552.77673992136,0.6911268
3.28,564.8432166795031,0.3932417
3.3,628.0379119274728,0.22937553
3.32,618.7265320542747,0.3420927
3.34,591.0432089928381,0.71807224
3.36,565.1874581913471,0.7533808
3.38,563.2642893190531,0.15251674
3.4,556.4649103881738,0.1281379
3.42,547.259040546315,0.63626385
3.44,549.38235606808,0.8746198
3.46,546.7506044497134,0.8259361
3.48,543.9788012761919,0.61596453
3.5,525.2551101655469,0.45872405
3.52,527.5242659660692,0.7231146
3.54,532.5127127827637,0.6952766
3.56,550.7096466757439,0.8035835
3.58,553.2710796125798,0.889353
3.6,549.5005733374255,0.8396933
3.62,550.1534760414534,0.6546757
3.64,543.9930083931515,0.76259357
3.66,550.1252321160267,0.43467632
3.68,562.851077888895,0.06359091
3.7,553.0362116284393,0.10113718
3.72,540.9812212532257,0.1533966
3.74,552.4048096129088,0.16372554
3.76,496.5470178238644,0.23671433
3.78,443.62581134261563,0.2506067
3.8,448.10456277034655,0.17918268
3.82,481.9149635349452,0.14268437
3.84,487.4676848196152,0.19076835
3.86,444.7003712294718,0.38600656
3.88,463.15793647587185,0.5119093
3.9,463.92417173409353,0.42515603
3.92,514.1841025510023,0.18479113
3.94,550.9677423253094,0.13482536
3.96,599.6659580805712,0.39027423
3.98,591.8469220012661,0.47178543
4.0,572.2944868112393,0.58280385
4.02,559.3133094753522,0.7979514
4.04,552.7547334282184,0.8239468
4.06,549.0025554344911,0.7747352
