time,frequency,confidence
0.0,233.8695219313088,0.09978823
0.02,236.71273193549183,0.034985736
0.04,233.8478828940167,0.23421188
0.06,236.9368380475889,0.16876239
0.08,236.30794877497294,0.34617436
0.1,242.51503601263744,0.32411802
0.12,243.68850567430994,0.71379316
0.14,247.32182458860444,0.5767759
0.16,251.0461393912791,0.7877629
0.18,250.47377583166735,0.77297825
0.2,246.71043017817834,0.61935437
0.22,240.20781947906374,0.6257305
0.24,235.10108626486146,0.50026286
0.26,239.40089640758077,0.6041352
0.28,244.51653842019243,0.32359993
0.3,249.097505481882,0.12881508
0.32,241.0635477787971,0.34919766
0.34,240.37611669093397,0.6405233
0.36,239.5639950821447,0.78985363
0.38,241.43924800593783,0.64273906
0.4,241.62548250472017,0.5654987
0.42,237.37231115868417,0.48541668
0.44,231.89073115472996,0.27567488
0.46,235.7326137152251,0.43680304
0.48,238.50139974810216,0.40192497
0.5,243.18808264920955,0.38206053
0.52,242.23264541593466,0.80735266
0.54,242.39408528306828,0.82900584
0.56,243.92054855062514,0.82734704
0.58,245.53091854771307,0.79223835
0.6,247.31046327606933,0.6467283
0.62,244.83090299742827,0.58104706
0.64,235.8732536488095,0.63865256
0.66,218.58478383596747,0.22367522
0.68,193.91543231058364,0.27789646
0.7,189.25751408073413,0.5332861
0.72,189.61098412713346,0.5875006
0.74,194.59908863479373,0.34917226
0.76,193.69429710536775,0.21983373
0.78,194.68603137738538,0.5220448
0.8,197.0452684278965,0.8756188
0.82,204.088298433707,0.7996485
0.84,208.80737654721403,0.6162136
0.86,208.28124205072712,0.11706933
0.88,207.5040134735619,0.1758878
0.9,201.81727292205014,0.45234495
0.92,199.26929659295797,0.5207481
0.94,194.2184603320481,0.53473866
0.96,188.50574958128198,0.72488177
0.98,181.5475283419322,0.68642116
1.0,171.05110854364995,0.3163763
1.02,162.57046224744371,0.23545079
1.04,167.76114102194322,0.07085942
1.06,171.05209388498722,0.15866469
1.08,177.93577109485145,0.15142782
1.1,181.1896034375501,0.21181025
1.12,179.1312552081747,0.11887201
1.14,188.42688243124783,0.33261505
1.16,188.25536094517008,0.1669663
1.18,189.16171861562944,0.12736346
1.2,189.40976165903467,0.28589684
1.22,179.66911768367925,0.10156907
1.24,177.80758145276434,0.18248877
1.26,181.261306472676,0.41894087
1.28,189.03049047857564,0.5553982
1.3,196.40234757961815,0.84715736
1.32,195.62671963230198,0.7996278
1.34,187.80596391201587,0.70509005
1.36,188.7326468455667,0.7109802
1.38,194.60330997076863,0.3836529
1.4,202.70650460545298,0.39538658
1.42,210.49782380858983,0.72290367
1.44,224.11161898457385,0.6297586
1.46,230.09782501199913,0.40086433
1.48,241.61166307319675,0.23219392
1.5,239.52193386015813,0.80270267
1.52,240.09712920940248,0.84334326
1.54,245.2457253853417,0.80482286
1.56,251.06837931529662,0.56995547
1.58,253.58169546898264,0.5658467
1.6,250.43805292116676,0.6567648
1.62,240.10601145718067,0.54347694
1.64,220.1217658687886,0.12902853
1.66,194.6309756776185,0.31763774
1.68,190.30544903464502,0.6590613
1.7,188.56522629330325,0.40460274
1.72,191.1392704769416,0.43115214
1.74,209.87362575440582,0.11897757
1.76,228.058071934255,0.618542
1.78,228.73429050638023,0.73309755
1.8,224.70061683072998,0.7490569
1.82,221.17861605044527,0.6464032
1.84,216.6547110279551,0.269193
1.86,209.33708381057005,0.6660331
1.88,206.15063343678915,0.71210515
1.9,205.75086329028983,0.65256655
1.92,204.91127555609413,0.7199913
1.94,202.71700079646067,0.57259464
1.96,198.8334374155782,0.34824163
1.98,191.41183365138122,0.19624259
2.0,191.89168509663463,0.30648494
2.02,185.70026380823603,0.455911
2.04,185.262885129911,0.05453657
2.06,189.29247803122735,0.36490598
2.08,192.08753235364298,0.26462945
2.1,188.9487008705138,0.41897872
2.12,184.07778166801833,0.38755804
2.14,183.56683380273583,0.42383826
2.16,182.79066392998504,0.24787156
2.18,176.76134697203372,0.38251954
2.2,173.20261891464096,0.31814986
2.22,169.33229545359086,0.35370493
2.24,161.91821075708984,0.2671946
2.26,155.60522658635267,0.4479902
2.28,172.1731740794314,0.3362861
2.3,189.51368241037886,0.14873053
2.32,192.14865083346734,0.7810352
2.34,192.38832460351207,0.8218037
2.36,193.41628629700566,0.7901784
2.38,193.41047246193426,0.78631574
2.4,188.80416310137736,0.6173002
2.42,176.1904542230633,0.5271983
2.44,167.33167607875856,0.31692216
2.46,155.41260528197992,0.21503909
2.48,157.81327616807278,0.37301612
2.5,159.3317538787682,0.378276
2.52,158.83740411767496,0.083683066
2.54,158.9922711724397,0.50613326
2.56,156.81267021059622,0.7741189
2.58,153.69357308923543,0.57432413
2.6,154.8997238536366,0.2081116
2.62,156.42572747856013,0.16598117
2.64,158.42522617912343,0.0991831
2.66,160.14680131836073,0.18535423
2.68,165.66449762134744,0.19178547
2.7,182.80682178698456,0.27403033
2.72,177.0439560010165,0.1646497
2.74,168.1179404372182,0.448943
2.76,175.51867836499918,0.6259421
2.78,178.38707203812794,0.8612248
2.8,181.06178162677125,0.8782825
2.82,183.36684778764027,0.9015648
2.84,184.32481599243064,0.7830252
2.86,183.51251951313662,0.47188023
2.88,183.21136023886194,0.40562704
2.9,183.01242682229054,0.6840996
2.92,181.9117809390262,0.76424503
2.94,180.0287371465551,0.8289701
2.96,179.61702291187368,0.831321
2.98,180.0658146544745,0.60582846
3.0,181.87857342314328,0.64717245
3.02,184.08162842085437,0.6894738
3.04,184.15331811234006,0.6789073
3.06,183.47366941962383,0.6496943
3.08,182.04136325932777,0.4151269
3.1,180.99511943408754,0.5489285
3.12,180.0089760662854,0.7280464
3.14,178.9424856491981,0.5934007
3.16,182.64382149225355,0.8032421
3.18,186.83760363088038,0.730931
3.2,194.72670575567736,0.24797298
3.22,202.3524425504511,0.5468962
3.24,199.2144224402008,0.40229318
3.26,190.90820781053222,0.2669462
3.28,184.9934166553031,0.48705935
3.3,181.67045495668754,0.6187538
3.32,177.66993909894796,0.48424056
3.34,172.1103312583034,0.44836596
3.36,178.56331741224494,0.19348624
3.38,184.493052605257,0.19911638
3.4,202.13800017587084,0.30920586
3.42,224.93644234989762,0.34061718
3.44,232.41662221663842,0.7615515
3.46,223.8693209808311,0.5465126
3.48,219.7481613225138,0.13510224
3.5,202.852913968148,0.44567966
3.52,195.7586595316414,0.6815481
3.54,196.5540441383181,0.7980434
3.56,196.7049112336004,0.80314195
3.58,199.11234040769384,0.6269738
3.6,210.90237731900953,0.4314319
