time,frequency,confidence
0.0,310.9836768824158,0.10057087
0.02,313.9946845194348,0.034250796
0.04,313.11638146176386,0.20055887
0.06,313.7928253288852,0.6405587
0.08,313.0564392061665,0.42462847
0.1,323.90185788035933,0.13313833
0.12,334.6641984182104,0.33359513
0.14,336.80863739201027,0.333498
0.16,345.9818360276156,0.63821626
0.18,357.4819221978604,0.5838875
0.2,355.273909864581,0.2515283
0.22,335.3239842857504,0.31023446
0.24,332.4835099327021,0.29372418
0.26,332.2833103604382,0.1995278
0.28,336.19113250723046,0.13451193
0.3,342.10686694949334,0.18043163
0.32,338.2634842372702,0.28426287
0.34,347.9299920430168,0.3088172
0.36,352.3275227754252,0.09632566
0.38,348.7511486283389,0.19910382
0.4,346.17922806850004,0.07280005
0.42,347.8733176150655,0.11867058
0.44,351.43815507956947,0.06525711
0.46,353.85603275643524,0.07404604
0.48,352.755517968348,0.048211895
0.5,359.8740807975861,0.048299152
0.52,367.195932679906,0.33783758
0.54,370.44816367657813,0.42624196
0.56,366.8225157404306,0.3510254
0.58,384.73905480219145,0.18175523
0.6,373.89811551896565,0.2140001
0.62,365.91661463053515,0.64802575
0.64,360.9950301216272,0.57279444
0.66,354.09010092623623,0.44965333
0.68,346.3836584122601,0.494705
0.7,351.92904475911,0.07937907
0.72,393.53280831601865,0.4481736
0.74,438.92695482158854,0.45987877
0.76,491.1707719714547,0.5415479
0.78,475.23822584429763,0.753419
0.8,460.1037891012769,0.80913943
0.82,461.1708983689134,0.865737
0.84,465.7968062534744,0.83989286
0.86,471.9781556312392,0.7883644
0.88,490.44043933751027,0.7521272
0.9,494.5303396050291,0.76234925
0.92,488.98494260192854,0.5977948
0.94,477.6079855479987,0.57096493
0.96,440.7591451822705,0.73383486
0.98,385.7598733247114,0.42764363
1.0,343.46216495174554,0.45829466
1.02,312.9406680265341,0.55831075
1.04,280.7594919226732,0.68585175
1.06,248.69696475469522,0.6022684
1.08,221.97846867175986,0.6520829
1.1,192.0139488587969,0.63450134
1.12,173.32413221608644,0.53489494
1.14,165.19376338475803,0.5870425
1.16,154.3402907885493,0.5641521
1.18,151.10506742473456,0.7234844
1.2,153.89696406017964,0.6802394
1.22,159.64141457620082,0.5438677
1.24,166.00285316032182,0.73602897
1.26,169.35730671116457,0.61847913
1.28,159.82039696121834,0.45600557
1.3,141.7769715695189,0.19275738
1.32,140.01702409495002,0.7281822
1.34,140.4814319029978,0.7677401
1.36,142.61624586359096,0.70756626
1.38,147.0961381583456,0.576501
1.4,148.08527118558032,0.45010304
1.42,145.45015093580614,0.29102078
1.44,138.90487872286792,0.27820638
1.46,137.56076049708764,0.6800226
1.48,139.95188642118205,0.7371868
1.5,143.72012251717683,0.7445997
1.52,148.7401842242399,0.47469893
1.54,150.87596759260336,0.5322206
1.56,149.74731020666573,0.5266428
1.58,148.4197958869159,0.5486871
1.6,147.17165834347634,0.5533781
1.62,146.31982938756843,0.7374735
1.64,147.42848737080965,0.7663893
1.66,153.06388465016494,0.23082843
1.68,162.3379266061512,0.4552967
1.7,167.47561509941917,0.26576316
1.72,174.60807874642708,0.5543835
1.74,183.3988275351912,0.50616133
1.76,184.44049187830385,0.17743869
1.78,178.08220047550438,0.098961465
1.8,172.3720865370818,0.081179045
1.82,167.68180433597902,0.3594356
1.84,157.0626473558824,0.46124533
1.86,153.90244496994376,0.32705083
1.88,166.4444890354309,0.2111166
1.9,181.04375167541298,0.2569638
1.92,184.17573371041684,0.75245833
1.94,177.55196560069334,0.55260456
1.96,172.54318623005213,0.18581772
1.98,168.71981291454904,0.13957997
2.0,156.8911326844526,0.3539768
2.02,154.09406948505637,0.4484467
2.04,161.08020359157257,0.13455263
2.06,181.12211180262435,0.53253496
2.08,194.22682614774874,0.7811833
2.1,185.9209752352763,0.28587183
2.12,173.22688021034372,0.66501915
2.14,175.84380520218193,0.41196144
2.16,187.86444858872468,0.19623996
2.18,192.59433616207394,0.21807234
2.2,190.8103210216905,0.26180393
2.22,184.47968772745247,0.102145895
2.24,182.30209920025345,0.08273608
2.26,179.26044221593935,0.41238078
2.28,179.00476921314498,0.70805
2.3,180.58178054948502,0.6766641
2.32,183.53434444758074,0.74557185
2.34,183.063026206573,0.66427433
2.36,182.48663842120425,0.34295174
2.38,185.03825314451194,0.06304303
2.4,188.45164938579276,0.40340146
2.42,186.22252649505594,0.40406796
2.44,185.69209371502754,0.23124595
2.46,196.41387141554276,0.49900234
2.48,194.8215827608317,0.5122833
2.5,189.25511917830548,0.16406466
2.52,171.86573293758687,0.1567116
2.54,158.38331422278793,0.4180346
2.56,144.70977129015404,0.45535862
2.58,145.95438786709911,0.63886464
2.6,147.26303492576085,0.6658498
2.62,143.7660125350342,0.4922257
2.64,137.71969682933533,0.6572754
2.66,134.24779606920796,0.76932615
2.68,132.77162760100592,0.7132195
2.7,137.23347046610317,0.47814456
2.72,147.44560350849727,0.11751495
2.74,161.95321274500714,0.4593853
2.76,159.43118780513,0.3769309
2.78,154.54635016936206,0.3358981
2.8,152.28225217498215,0.6594808
2.82,153.4787930973808,0.8010347
2.84,151.5702182759126,0.7608688
2.86,146.65204445103325,0.4860212
2.88,150.7323268395857,0.33546793
2.9,148.4614059370355,0.52816564
2.92,146.65713841988804,0.35988685
2.94,143.68511353780048,0.26879302
2.96,140.9769441247601,0.4946751
2.98,140.4160814615601,0.54784954
3.0,143.8664840703188,0.45996627
3.02,151.9204835999027,0.17282833
3.04,163.1521059761772,0.2010419
3.06,167.16557132053458,0.7745797
3.08,173.67886271189235,0.4626922
3.1,182.17773767093763,0.1577156
3.12,188.6747570517858,0.44431368
3.14,184.52021248135466,0.7802404
3.16,186.73952971595378,0.7241443
3.18,188.26723623190708,0.7406044
3.2,186.00677097782622,0.6762005
3.22,175.96541591977922,0.38347
3.24,162.52185663245422,0.43035945
3.26,150.56159045549728,0.66477615
3.28,156.25054406380406,0.53208137
3.3,163.06790533643337,0.27375713
3.32,182.75405801854748,0.38958892
3.34,189.2294310269388,0.6500715
3.36,184.13971886130085,0.21149015
3.38,166.67173137755105,0.28822705
3.4,157.14154587026076,0.562585
3.42,154.54461224661986,0.4252637
3.44,153.90042662381185,0.28188607
3.46,155.74008613857598,0.56649923
3.48,155.41049795929112,0.5347061
3.5,152.6890114728459,0.109305374
3.52,148.52911041242197,0.08966985
3.54,148.6095800474742,0.22878306
3.56,154.22147663661687,0.2576126
3.58,162.744845549847,0.1458284
3.6,178.483175141391,0.5178757
3.62,180.30976020190909,0.58055997
3.64,174.62588051227345,0.46594906
3.66,165.0913756683653,0.5013521
3.68,157.85091325233884,0.6643002
3.7,155.47435142308035,0.6873156
3.72,155.91331427252905,0.63276875
3.74,156.2469345752099,0.72059894
3.76,155.01255711260276,0.6178901
3.78,152.1571822989353,0.24636504
3.8,166.9892718921507,0.19838303
3.82,188.86507461333636,0.3747465
3.84,213.74057239671987,0.57874024
3.86,229.90593229786145,0.327816
3.88,257.3998346162307,0.35152894
3.9,287.50696956009955,0.49352953
3.92,308.75892542018454,0.3151784
3.94,309.0028292278077,0.4933119
3.96,306.1270352038215,0.6293429
3.98,306.69840996767664,0.7250583
4.0,309.37700654289176,0.6255246
4.02,308.72126765824936,0.3752224
4.04,311.5083252990884,0.24220026
4.06,327.59257120550444,0.1779215
4.08,366.7048797174109,0.36252493
4.1,392.8651477534101,0.20401481
4.12,414.44017631943893,0.10512969
4.14,414.0506315676899,0.26720056
4.16,441.2050709868064,0.30164278
4.18,467.977037949735,0.54788524
4.2,467.51835743643505,0.7034855
4.22,461.658662572164,0.467538
4.24,460.9908063460716,0.276297
4.26,459.84268215621285,0.1927743
4.28,459.7369533695081,0.09587612
4.3,463.1515468685646,0.0786356
4.32,466.17563758939434,0.2642692
4.34,468.24908514918496,0.16529134
4.36,460.143489632218,0.27205953
4.38,455.03002288579444,0.39322218
4.4,452.7681338922946,0.27711228
4.42,447.3614104965014,0.12246183
4.44,457.54286564558913,0.2347133
4.46,462.3671777623082,0.09249795
4.48,466.24879852394605,0.25852162
4.5,461.53750699516485,0.306671
4.52,454.1343597562348,0.19410567
4.54,403.3247713551792,0.23091894
4.56,416.26628973384805,0.31548163
4.58,420.0490397023275,0.4901315
4.6,414.84654507592563,0.10774521
4.62,400.5115417790581,0.1924666
4.64,386.64815695740197,0.5163832
4.66,372.8037276060352,0.2229788
4.68,382.0278223885156,0.07539196
4.7,370.5501792871133,0.05482767
4.72,360.73560950874315,0.25244147
4.74,333.40979628125893,0.11368434
4.76,320.4528356047912,0.12409944
4.78,318.11836780600805,0.44420946
4.8,318.28013313384724,0.602477
4.82,316.1652886648023,0.60804486
4.84,315.01347838363165,0.562811
4.86,317.04354556072917,0.66428304
4.88,326.2489115509314,0.57496655
4.9,330.99079954434666,0.65813524
4.92,336.2898064984113,0.7169256
4.94,340.49145085749683,0.81286144
4.96,334.9618762714993,0.6952274
4.98,326.1053895066278,0.6761792
5.0,319.18717982977046,0.7257153
5.02,319.4343176559719,0.7252812
5.04,323.7408607690586,0.6017228
5.06,332.23328968752037,0.62227976
5.08,336.16573901786444,0.40397185
5.1,328.5615481553448,0.15518178
5.12,324.62738847897856,0.07751125
5.14,321.9517271895868,0.12970152
5.16,319.026372778001,0.35056055
5.18,321.64858368165375,0.45408353
5.2,341.4853042293766,0.2074223
5.22,349.3060605832006,0.7633289
5.24,349.0191713481628,0.5323254
5.26,335.12644150989735,0.29470554
5.28,300.0734433305821,0.1280166
5.3,305.2385114551263,0.5024463
5.32,305.7101289923529,0.72688174
5.34,302.7155041782263,0.5510515
5.36,297.0354077380355,0.605093
5.38,290.30808396345515,0.78765786
5.4,291.4944917855275,0.8059595
5.42,298.86431449153895,0.5700891
5.44,305.14966106177553,0.33468792
5.46,306.3455289864685,0.43583965
5.48,307.6591625951978,0.0982526
5.5,307.8324477062081,0.13940918
5.52,306.4641652187662,0.47901696
5.54,305.01064723575166,0.6142528
5.56,298.2508644776772,0.52270186
5.58,295.4754035897039,0.23943406
5.6,310.1104576347349,0.19837822
5.62,331.0625797911944,0.27297166
5.64,338.63403667217256,0.33369097
5.66,329.75787473856667,0.42368177
5.68,326.02342114023037,0.45398855
5.7,322.56478211164006,0.6118759
5.72,322.3777149495024,0.6826904
5.74,322.52216207809465,0.509809
5.76,328.1881562651919,0.47428173
5.78,333.6667899713642,0.29172334
5.8,341.82647157663865,0.72982526
5.82,340.47732856720273,0.6569971
5.84,328.6024614076305,0.42861217
5.86,322.687026984342,0.5877759
5.88,318.6780560763067,0.43536386
5.9,318.624615258198,0.6828837
5.92,322.3608908746632,0.4593337
5.94,342.9415184404361,0.15916301
5.96,368.6550443830681,0.3774666
5.98,374.5289940534308,0.6107514
6.0,375.6059125981287,0.32604444
6.02,368.6735466391849,0.060602564
6.04,339.013605050922,0.17145054
6.06,325.97268552902995,0.41595694
6.08,318.7595366060599,0.4857336
6.1,313.4201325010603,0.6653228
6.12,309.9409084428944,0.62913775
6.14,313.1172854253997,0.6870278
6.16,321.16215981806823,0.6315769
6.18,329.72579894213453,0.3445579
6.2,340.60164844102155,0.49187952
6.22,345.32795432230046,0.6059067
6.24,342.58959590952065,0.43721735
6.26,337.1205230459942,0.3439828
6.28,328.8595393084788,0.59774864
6.3,324.13742805026266,0.5837543
6.32,319.8970270251312,0.5388284
6.34,320.55638127857605,0.6988857
6.36,319.01194906216443,0.40240735
6.38,321.58116007253676,0.5552422
6.4,328.7161258431086,0.55504555
6.42,333.88040058713267,0.3885862
6.44,346.8683200053733,0.21164653
6.46,356.4457149602782,0.60320544
6.48,347.31468922291924,0.23293541
6.5,328.3437149966442,0.22018683
6.52,321.8648152900557,0.655426
6.54,317.64482762650033,0.45085722
6.56,309.50330440911546,0.64910114
6.58,304.6197102611633,0.21945855
6.6,306.37934557801833,0.30896565
6.62,321.3335463857628,0.22978763
6.64,333.0816048968657,0.30412072
6.66,330.25053076686015,0.5385202
6.68,360.8411341615765,0.35595816
6.7,382.49940651504255,0.2994392
6.72,423.2654049321254,0.35685894
6.74,445.3908211925923,0.4041358
6.76,506.5978238172547,0.05761774
6.78,532.9457655259015,0.50433147
6.8,530.027434752533,0.45846862
6.82,537.6013468440087,0.20043154
6.84,534.6892723722191,0.25364938
6.86,528.5552855319953,0.4392203
6.88,521.7289608750856,0.37549216
6.9,530.0493981905693,0.26376548
6.92,531.3188797246466,0.20952775
6.94,531.7219614331335,0.32805398
6.96,531.930659265937,0.54903305
6.98,540.5835695522595,0.1434044
7.0,537.8048287080127,0.30463293
7.02,532.9432245639018,0.18062449
7.04,517.0405939791384,0.28806815
7.06,488.87054271514296,0.40650824
7.08,484.6581263848019,0.4312438
7.1,485.79014748465084,0.28195196
7.12,490.55465716357645,0.78581643
7.14,500.6222692810935,0.221757
7.16,492.18242775728646,0.33307758
7.18,492.8239349813969,0.6419493
7.2,490.07875456937927,0.5554904
7.22,477.05785839919065,0.19693002
7.24,457.429374533495,0.1991365
7.26,450.3644572705346,0.3166634
7.28,455.81400288952926,0.176857
7.3,470.24171877383566,0.27594373
7.32,475.2932693037868,0.18329053
7.34,450.43133781216443,0.16208681
7.36,419.25416309021045,0.12968214
7.38,367.93452302492625,0.08833402
7.4,349.6782727507956,0.09472391
7.42,357.36971559789225,0.21518144
7.44,362.95567101722725,0.07885801
7.46,363.26668740322225,0.080979705
7.48,366.56406896700116,0.5176989
7.5,368.2433859366031,0.7821189
7.52,373.6110906890812,0.7323636
7.54,377.41719460362447,0.3489223
7.56,354.19232732988223,0.1734019
7.58,344.01110673813184,0.31283146
7.6,322.61339430667124,0.12518123
7.62,270.14646530287035,0.30586812
7.64,253.6728667185827,0.42957833
7.66,217.92034104873093,0.37913287
7.68,196.89584214757602,0.43613225
