time,frequency,confidence
0.0,286.5060523377879,0.1018177
0.02,286.4806137658037,0.03381202
0.04,286.29383142517867,0.14093149
0.06,286.54967365791305,0.4720542
0.08,283.64873735509286,0.8767
0.1,283.729315154117,0.9183229
0.12,285.07210091133703,0.9134096
0.14,283.87348822636994,0.90776616
0.16,282.98758908627224,0.8995739
0.18,283.5989652682183,0.88521844
0.2,284.7311687857823,0.8526846
0.22,286.4528727960846,0.8274386
0.24,289.04775984841956,0.909101
0.26,285.7598449244971,0.8906182
0.28,312.3082945029376,0.8963711
0.3,350.15705326531133,0.785379
0.32,393.5022357759909,0.4565119
0.34,429.88927430902936,0.6067792
0.36,469.3463947220692,0.46702388
0.38,521.2079074851051,0.4600646
0.4,572.3626142244912,0.05204976
0.42,656.3253782487242,0.14559501
0.44,750.8631696223596,0.22255689
0.46,821.4830642890436,0.21422191
0.48,933.6851369028552,0.20905998
0.5,1036.8575389973928,0.4241548
0.52,1145.0435620345272,0.47284624
0.54,1147.701115231424,0.702202
0.56,1148.3664482752872,0.8284521
0.58,1149.7497523422849,0.8905903
0.6,1145.7436067284505,0.8591151
0.62,1143.0900743897284,0.78107387
0.64,1141.8004389889782,0.6374938
0.66,1143.8392190275122,0.7275206
0.68,1136.8304102308723,0.7633127
0.7,1138.7309534606418,0.8245941
0.72,1142.6669072324357,0.8310583
0.74,1143.5395667957728,0.7083649
0.76,1146.3270502538653,0.32182577
0.78,1101.1260049159414,0.3554574
0.8,988.4222051411087,0.16228504
0.82,962.1205243571351,0.15252472
0.84,864.9445862131632,0.17628865
0.86,809.7686586664048,0.40516025
0.88,725.2870999368293,0.48089916
0.9,667.1733593995752,0.4354063
0.92,620.6254510097928,0.28423023
0.94,552.3400153652487,0.2541475
0.96,548.5742644874304,0.14304025
0.98,545.5423308959346,0.145578
1.0,541.6298201510257,0.22721547
1.02,539.0019173111272,0.33902237
1.04,565.4296214114273,0.080692016
1.06,589.1290980666919,0.7048202
1.08,576.6339428474915,0.66651165
1.1,555.4416049755223,0.7522277
1.12,488.1582101196324,0.6378085
1.14,448.0264826472197,0.82778203
1.16,443.1530791135512,0.6811712
1.18,494.0002448792854,0.37002575
1.2,485.9163463548456,0.5617925
1.22,466.2051529592817,0.7509699
1.24,453.7278848490738,0.22083011
1.26,426.95728877985465,0.2183302
1.28,401.8946487586484,0.46858492
1.3,400.5116082314446,0.41683352
1.32,417.59607549423635,0.49811545
1.34,443.52684081851976,0.46275544
1.36,454.7456923546599,0.7283399
