time,frequency,confidence
0.0,660.5998243360078,0.10282362
0.02,663.388364447668,0.037991006
0.04,664.8375400010998,0.07341734
0.06,660.2823107786428,0.27619413
0.08,641.1661563107167,0.55023515
0.1,625.9392065148176,0.7997496
0.12,579.3498357161357,0.74797475
0.14,548.0684189127073,0.81278586
0.16,525.6171811596912,0.34167522
0.18,502.54382673755254,0.07153617
0.2,474.19344310432706,0.17573348
0.22,448.169601914527,0.11686722
0.24,429.18809056988937,0.09509007
0.26,431.6510410810922,0.078885764
0.28,391.8985111232192,0.6164924
0.3,347.9957999935649,0.6697055
0.32,327.3016440448359,0.68705535
0.34,318.8366843620363,0.45262533
0.36,317.7971141185924,0.5772958
0.38,322.96590172687013,0.38665128
0.4,334.5971043758428,0.13030621
0.42,329.35899401002905,0.3112136
0.44,311.6851759619949,0.65572685
0.46,307.8187805753121,0.4955956
0.48,270.07293320525616,0.16050039
0.5,239.7775611473527,0.36802375
0.52,232.0249532403201,0.4162576
0.54,226.15990434001242,0.49372408
0.56,248.86473867173328,0.09957542
0.58,278.1629285468842,0.18399116
0.6,278.73843440327215,0.23410061
0.62,286.6133374308861,0.48086214
0.64,277.1734921513968,0.43048754
0.66,260.3319453207651,0.38094208
0.68,241.32300746778668,0.7733756
0.7,243.60433239096355,0.6599484
0.72,248.27141563408262,0.1891319
0.74,256.88234751270886,0.20275651
0.76,257.98334984119117,0.64381474
0.78,258.871862271076,0.554078
0.8,260.7768254078399,0.2928572
0.82,249.77422099377148,0.4190564
0.84,233.94825171739785,0.13956726
0.86,241.04430584739976,0.12153976
0.88,273.8962681640287,0.5147156
0.9,297.80163506616935,0.8553461
0.92,295.43099315680865,0.56772757
0.94,266.8309425178538,0.32106978
0.96,234.61519028488527,0.18226442
0.98,233.97209868199047,0.64577895
1.0,237.13545415612032,0.76866966
1.02,252.52387022360008,0.52574503
1.04,258.2891778644656,0.6641184
1.06,255.92095167052463,0.5470633
1.08,239.78676005606974,0.5533772
1.1,236.82134291558583,0.23011783
1.12,234.29100158139735,0.34064913
1.14,238.7676265257991,0.5113167
1.16,272.6237269268832,0.22484605
1.18,293.0847320778277,0.5514924
1.2,312.6904808135732,0.6839034
1.22,316.1511659799258,0.42076412
1.24,289.60398637404074,0.24312413
1.26,259.73998053688547,0.15327862
1.28,236.29761017758383,0.12113223
1.3,207.46608228122346,0.17344575
1.32,202.43367739917815,0.7238796
1.34,207.67313331403898,0.6585409
1.36,237.28796354510249,0.4031094
1.38,250.6766718505741,0.49754193
1.4,260.1897146963883,0.50403833
1.42,302.40480074186587,0.635895
1.44,331.444904344845,0.90321976
1.46,327.38691282798777,0.815626
1.48,305.1514551929421,0.70656586
1.5,285.5405274543433,0.6908517
1.52,269.5331145903364,0.79706234
1.54,258.6042945769142,0.79050136
1.56,251.11709996357894,0.8579514
1.58,250.90360636819048,0.8815069
1.6,252.78971735126635,0.87103665
1.62,255.4653607063646,0.862225
1.64,255.04138218555215,0.84086394
1.66,253.52941295244,0.83388174
1.68,254.56736331497643,0.837273
1.7,256.62382185010085,0.80287606
1.72,268.7316928807529,0.6685277
1.74,283.04432685000745,0.71453416
1.76,290.59321103459695,0.800096
1.78,274.9788739013519,0.53446054
1.8,262.27532280210755,0.78534806
1.82,244.68274658855276,0.6127167
1.84,249.14018243960095,0.76912904
1.86,256.74182717274266,0.8149079
1.88,268.85566001099795,0.5484873
1.9,288.26824149836307,0.7689478
1.92,300.5098878697964,0.7640554
1.94,313.32258583273284,0.86170113
1.96,318.8391289169299,0.88406885
1.98,319.5591714473432,0.8891888
2.0,316.4438083565731,0.9064828
2.02,314.63636343407626,0.8844363
2.04,316.9306383031082,0.89479715
2.06,318.80142065595544,0.8436857
2.08,303.68994853343787,0.46177158
2.1,273.5430493338887,0.4868506
2.12,263.59163437019856,0.5694922
2.14,263.25970957179953,0.25248468
2.16,262.37128220053256,0.25834164
2.18,274.9494573823608,0.55929863
2.2,283.7806836898273,0.27020785
2.22,300.8362989167266,0.45956486
2.24,298.8247459218478,0.5091001
2.26,297.8419618990098,0.33431664
2.28,318.65086887475627,0.7677818
2.3,320.50024399176664,0.902683
2.32,318.2144573470765,0.8925836
2.34,317.08105830651743,0.9029611
2.36,316.05341911976393,0.9136201
2.38,317.393508619876,0.88818836
2.4,318.1388442298385,0.86993235
2.42,317.2751034917508,0.8893659
2.44,317.0263729279519,0.8970046
2.46,316.1624130922142,0.89429295
2.48,318.32395934176975,0.85299486
2.5,319.9355160192529,0.8971311
2.52,320.3655333460744,0.8856749
2.54,317.89245182599336,0.8825575
2.56,316.2768801062178,0.90918905
2.58,315.46086100147124,0.9133143
2.6,316.62066293766577,0.8888673
2.62,319.7155975762054,0.87490404
2.64,318.1922761354246,0.879123
2.66,316.8961768684829,0.906137
2.68,315.79941258203127,0.9037416
2.7,315.3470871519579,0.8933385
2.72,316.64518440000086,0.9124857
2.74,317.90557903418227,0.87431705
2.76,318.1760615545392,0.88123053
2.78,314.2872821266193,0.83930355
2.8,299.7472858842399,0.6584687
2.82,284.95614794413984,0.53789026
2.84,261.46482065175434,0.42911622
2.86,242.09347000420053,0.755009
2.88,257.49962310325003,0.5377939
2.9,284.55266717263163,0.76661485
2.92,294.6975525288682,0.6891793
2.94,316.2970053805918,0.8150904
2.96,319.0584389606911,0.9012997
2.98,317.712315123707,0.8962529
3.0,317.636128458288,0.89314437
3.02,318.1965654213188,0.8876842
3.04,320.2495190865046,0.89101386
3.06,320.51401890404526,0.9073197
3.08,317.97932021432246,0.8778365
3.1,308.31815463688605,0.75537115
3.12,291.3251819577318,0.8128413
3.14,277.38220020861075,0.794544
3.16,269.7954401871289,0.8943373
3.18,271.300837414534,0.8893029
3.2,278.04515783871915,0.74389684
3.22,297.1880160813773,0.5653441
3.24,314.1844271124863,0.7912081
3.26,320.84101959925283,0.7984544
3.28,322.06449946132153,0.7997581
