time,frequency,confidence
0.0,660.7586477543864,0.09898349
0.02,661.4689917523788,0.031016218
0.04,654.765554365414,0.22100307
0.06,631.5900095390812,0.5310058
0.08,635.2891640620858,0.8582232
0.1,631.8920274383753,0.8170693
0.12,631.0842610931088,0.55547965
0.14,634.4516562257338,0.5446665
0.16,640.0610927708608,0.7722764
0.18,648.3347292019079,0.83486927
0.2,649.5554532670972,0.7903124
0.22,644.6243268051542,0.6653776
0.24,641.0558716347632,0.44127235
0.26,647.5207883071894,0.55132663
0.28,654.9854227187524,0.6024388
0.3,655.409549384419,0.5835637
0.32,658.2393560224741,0.58304024
0.34,656.576639869475,0.45571423
0.36,649.6448690037034,0.70263207
0.38,649.5569616504642,0.82632786
0.4,649.5487519164749,0.8230769
0.42,649.7222879310768,0.67533624
0.44,663.4713762163326,0.59153175
0.46,710.1292183278777,0.74053895
0.48,781.598258419711,0.4783572
0.5,838.3894380179199,0.5196363
0.52,847.9585236166554,0.20069236
0.54,854.4607681044262,0.7135645
0.56,853.3994334855722,0.60119426
0.58,860.8357215871772,0.5242647
0.6,805.1347411923696,0.4107078
0.62,691.033339120929,0.2643255
0.64,625.3132581163102,0.3233082
0.66,630.8760930234755,0.45663804
0.68,638.6907814386792,0.4084377
0.7,643.3945433581288,0.43461204
0.72,637.509050468037,0.39163747
0.74,635.8300939810599,0.48512214
0.76,628.5395537733219,0.5099573
0.78,573.6174176543316,0.1334347
0.8,558.1272842225592,0.068777785
0.82,502.210597146267,0.107151024
0.84,469.3908650311014,0.25567365
0.86,437.8594715237592,0.13384755
0.88,434.66209791012085,0.4314414
0.9,433.47116464612407,0.2504387
0.92,452.423704197717,0.15820332
0.94,448.4231600621489,0.19627218
0.96,433.04313390117863,0.30754808
0.98,431.03305668591616,0.8052584
1.0,435.4427026049132,0.3071032
1.02,434.4195334681825,0.1702906
1.04,445.16696982358997,0.093707815
1.06,472.10897068161074,0.45953864
1.08,487.9494968600568,0.2245106
1.1,493.47075277253657,0.5159896
1.12,468.9408545520845,0.19499965
1.14,474.82628939999995,0.72068524
1.16,490.12215830128457,0.804184
1.18,494.8260268956692,0.4750892
1.2,442.1396797691892,0.6613851
1.22,492.11429141978874,0.2474564
1.24,510.2583406674996,0.4811128
1.26,509.6318949095575,0.29066736
1.28,487.76492390609167,0.5625837
1.3,455.71916776738766,0.6683632
1.32,439.1206417065615,0.7270014
1.34,433.85400650755264,0.71032095
1.36,435.1848723215559,0.72440267
1.38,431.61896596725853,0.29991004
1.4,482.80794609956075,0.10753926
1.42,483.5167560853947,0.3745399
1.44,476.85331697213877,0.28170297
1.46,463.88967645821987,0.7106595
1.48,473.8897474320344,0.24779935
1.5,460.9876668004242,0.48155704
1.52,453.7375570467952,0.28671017
1.54,437.5378239908341,0.28261223
1.56,473.39752281545,0.34081483
1.58,491.02688913653714,0.47471604
1.6,501.3509210226583,0.6228806
1.62,501.06961229625335,0.42716834
1.64,450.7166182233393,0.40289167
1.66,442.9050430260531,0.47278917
1.68,483.0744504392683,0.35502228
1.7,497.85128158785176,0.37154877
1.72,487.1141423559867,0.6404892
1.74,481.6786677484465,0.5189278
1.76,486.08436668663296,0.24595249
1.78,441.0562796795875,0.22239381
1.8,471.27153212173334,0.1666196
1.82,498.1432137200427,0.10725735
1.84,540.102801916412,0.3087711
1.86,517.7910296604427,0.36976656
1.88,527.9370331461057,0.3052246
1.9,504.9501724007516,0.36129236
1.92,510.5941263032278,0.18851542
1.94,502.33109998535167,0.11938555
1.96,475.98888177756953,0.0928322
1.98,447.81516889490797,0.15840492
2.0,435.5037462537518,0.55204046
2.02,436.707458165697,0.27510825
2.04,486.57348779249855,0.3409185
2.06,453.6321615751606,0.6152449
2.08,448.93222088354275,0.47103053
2.1,408.7831132313034,0.25814787
2.12,360.4958034509204,0.22928655
2.14,317.06040121681576,0.65168434
2.16,285.39877713153663,0.61518663
2.18,286.12893696780014,0.81461823
2.2,284.1376487591671,0.7599925
2.22,280.10299841630035,0.55710804
2.24,271.69814728475035,0.49661788
2.26,263.4540732461508,0.62767684
2.28,254.48943754682688,0.4725304
2.3,250.13017698021838,0.32933193
2.32,247.91286800249873,0.4559962
2.34,248.03889587398174,0.30531585
2.36,249.15719505323062,0.3257427
2.38,254.0351125236354,0.6695739
2.4,264.0467654074383,0.51020813
2.42,273.07468358702465,0.60454303
2.44,281.23387743752835,0.79696304
2.46,284.6219521691958,0.81357497
2.48,282.2789620586172,0.73998845
2.5,284.0279223697651,0.56781924
2.52,284.97071478014635,0.6125984
2.54,285.7839500545122,0.74625695
2.56,284.8736825557667,0.7480638
2.58,283.6579178509916,0.6358711
2.6,282.36153561018244,0.66045964
2.62,282.1984745475621,0.71972346
2.64,284.0849578137217,0.8315711
2.66,286.5532882473467,0.8276912
2.68,287.31353559794724,0.87413263
2.7,288.1350101227233,0.8762336
2.72,286.87729765773076,0.8584289
2.74,285.8153833624559,0.86914897
2.76,283.7449347860733,0.85769117
2.78,281.85487641812404,0.8450841
2.8,287.61734045824875,0.79336035
2.82,286.7052509628998,0.80986136
2.84,285.04419809861287,0.78704935
2.86,287.24239424637335,0.7385291
2.88,285.5645755481715,0.6576723
2.9,280.75492491139136,0.7065165
2.92,279.1591007935939,0.64695394
2.94,288.1788494462735,0.16624479
2.96,264.2814238222649,0.25382942
2.98,266.2472785602072,0.2205534
3.0,236.4101695251264,0.2035918
3.02,226.51422307264477,0.56994176
3.04,220.1216826191077,0.3824918
3.06,221.8556451755238,0.47003564
3.08,223.66545776073923,0.30397764
3.1,225.2330375845333,0.19335802
3.12,225.45163189519525,0.18665656
3.14,223.7790275566317,0.7926837
3.16,219.9733528958172,0.15092601
3.18,231.47235092736884,0.10711585
3.2,229.0582144508703,0.3596699
3.22,224.50624177978602,0.579144
3.24,224.70550352901284,0.5517379
3.26,226.76526041037522,0.20543438
3.28,223.42773528454418,0.12826566
3.3,222.82312911462094,0.3815261
3.32,222.05026119652698,0.23308334
3.34,228.57673574082878,0.23761873
3.36,228.32281752007975,0.38555598
3.38,225.99248688268705,0.39754888
3.4,220.88127863657024,0.34624365
3.42,222.1071076608231,0.2101764
3.44,225.93432304078033,0.40036514
3.46,224.04275838566153,0.2998583
3.48,227.40334569275316,0.19177943
3.5,230.65087904515644,0.09017532
3.52,223.89210573784763,0.25794414
3.54,222.99960322522938,0.39482197
3.56,231.7312966637182,0.49156147
3.58,231.6846293238066,0.76824355
3.6,229.27360155579905,0.48909667
3.62,225.22843711707768,0.18594253
3.64,230.3606483730256,0.5574715
3.66,234.86221373962275,0.5819714
3.68,232.62981346055741,0.12104715
3.7,234.32119853708838,0.5342144
3.72,241.16912971307127,0.4828328
3.74,243.79087643016004,0.6155557
3.76,252.03875952017086,0.43141276
3.78,243.8601379892433,0.31259313
3.8,237.16952773904242,0.6147493
3.82,227.14065542724018,0.7206216
3.84,221.58961374807748,0.32063845
3.86,215.51331239513712,0.3555281
3.88,218.63742870646132,0.33235815
3.9,222.38617588763194,0.44585204
3.92,232.6226395396585,0.06303324
3.94,239.34931490204343,0.09251672
3.96,235.92372939767256,0.096227065
3.98,234.84268480706277,0.11209301
4.0,234.11039865350676,0.1300306
4.02,235.23154525132702,0.11749784
4.04,236.980959592758,0.255906
4.06,239.2924568505166,0.36809215
4.08,230.35153987514096,0.6296811
4.1,224.20964871138108,0.78308547
4.12,222.9133999606772,0.7700932
4.14,222.83813355673703,0.9040045
4.16,223.8374313568728,0.89597976
4.18,225.57676540243932,0.9144941
4.2,228.0646056869372,0.88347125
4.22,227.5788098451818,0.85274833
4.24,230.87722339818202,0.42382154
4.26,237.35444005677618,0.2855438
4.28,256.47223414890396,0.20452587
4.3,271.17986401667025,0.32601514
4.32,292.112673861946,0.52267575
4.34,298.1507115065535,0.6359726
4.36,286.2219619646283,0.33538446
4.38,274.92786153407974,0.5200333
4.4,268.2897980872246,0.46045345
4.42,260.55398715773896,0.7874598
4.44,251.1472028806151,0.21996412
4.46,245.23907141049773,0.5438124
4.48,242.68996367818454,0.7993993
4.5,247.12345346508758,0.7551274
4.52,253.23170597632273,0.37344748
4.54,259.6894731801371,0.24188897
4.56,270.77648070362943,0.17126037
4.58,279.3581081052366,0.36539462
4.6,283.864532715782,0.60559136
4.62,284.5991101770391,0.4886713
4.64,286.2559900887519,0.6428087
4.66,286.72083394003,0.77783525
4.68,286.1371709447655,0.84690666
4.7,286.911461402022,0.7801132
4.72,287.6740088573986,0.6270774
4.74,287.6544740528426,0.2948617
4.76,281.2648121112139,0.25683326
4.78,274.7977470806803,0.4524283
4.8,277.06639322691564,0.05955437
4.82,276.94910776792665,0.3038706
4.84,278.22117064562207,0.5787269
4.86,266.68431515099445,0.16530828
4.88,270.16386708481326,0.18418019
4.9,255.46165614069494,0.15875466
4.92,250.6435166575331,0.34900543
4.94,247.83040736181218,0.21329626
4.96,234.87244529398941,0.12840103
4.98,234.57420793558856,0.0652479
5.0,239.0334125090237,0.08324977
5.02,252.23714416411843,0.28772938
5.04,264.6114045106347,0.17334875
5.06,278.4344560408441,0.23180397
5.08,288.98942312641367,0.48753068
5.1,294.60722605542867,0.7894958
5.12,294.0796852119768,0.6755135
5.14,283.3730858884417,0.42915985
5.16,278.80800036653005,0.8104967
5.18,281.7772870857311,0.75607026
5.2,290.25868769428536,0.7224118
5.22,297.27413817837333,0.7549693
5.24,302.7220588198924,0.67448705
5.26,304.0295788711396,0.57576334
5.28,303.61006936720224,0.6474192
5.3,298.83958778059946,0.3589153
5.32,292.2847835801934,0.30503032
5.34,291.76662077413164,0.33797482
5.36,290.9524870709949,0.2751796
5.38,290.84893527770885,0.09947093
5.4,289.35484029695095,0.06729418
5.42,286.4308643333481,0.16617231
5.44,288.0847724607305,0.5082866
5.46,279.48520819859516,0.2593488
5.48,274.8760942744213,0.7110269
5.5,275.21548546531017,0.7258073
5.52,278.0475375715258,0.6396103
5.54,278.5736507709192,0.8357906
5.56,280.8326274106531,0.83563006
5.58,282.46758888846506,0.760097
5.6,281.9906120218143,0.53927815
5.62,280.69371230387054,0.67361516
5.64,282.2752041862385,0.76491416
5.66,284.7502971657304,0.75693077
5.68,284.90868273466657,0.7263081
5.7,286.2228058689165,0.63450783
5.72,286.2742048893803,0.5727608
5.74,284.78426580005197,0.63301146
5.76,284.0708125531733,0.6862273
5.78,283.97495858866614,0.73846173
5.8,284.2481606680947,0.5936068
5.82,283.2825746894779,0.64623344
5.84,283.71831988341404,0.70142496
5.86,283.0881039599649,0.70595074
5.88,282.1609902140443,0.5567678
5.9,286.26524523860564,0.5912621
5.92,289.1280946828632,0.5578257
5.94,287.07585213550044,0.6329422
5.96,286.2538324787826,0.8057387
5.98,284.29258380932345,0.87318146
6.0,282.5733895409204,0.8397509
6.02,282.7167826737313,0.81070226
6.04,285.83515890352226,0.83949786
6.06,284.853111574747,0.8432661
6.08,282.93426637162844,0.7518445
6.1,284.0715724389518,0.83472097
6.12,286.22542617620104,0.8556713
6.14,286.1357205219736,0.8747176
6.16,284.9567101418049,0.8985551
6.18,284.3256256095611,0.8918686
6.2,282.0186864293465,0.8828546
6.22,280.91832221605523,0.8924076
6.24,282.5589192656064,0.8905307
6.26,283.8340269625081,0.84798247
6.28,285.99064818397096,0.78375924
6.3,284.639819884077,0.78104544
6.32,285.02590785812214,0.8234229
6.34,282.9643355961068,0.7743505
6.36,281.0182729290208,0.77134323
6.38,284.085507627732,0.8221741
6.4,284.98181292751576,0.86492133
6.42,286.84072333103563,0.8065883
6.44,285.9609125877533,0.8037046
6.46,284.0597524584748,0.7735511
6.48,282.8268968776829,0.6356232
6.5,283.42273218880763,0.6230182
6.52,285.83149595948737,0.6677457
6.54,286.9421136785109,0.6004659
6.56,287.86100658501164,0.7358535
6.58,287.43913152676345,0.8207592
6.6,285.78757819087525,0.73812044
6.62,288.23849000306654,0.61856735
6.64,290.7666840994482,0.578393
6.66,290.4136966389578,0.5752762
6.68,286.83326524758263,0.71275103
6.7,285.40129486410035,0.79157674
6.72,285.4045381059302,0.8105207
6.74,287.0235100995401,0.8450872
6.76,285.8245221994973,0.8700982
6.78,286.2469295005495,0.85558945
6.8,286.1769233577207,0.85975826
6.82,286.60126234451707,0.8376087
6.84,288.15132921165906,0.8588283
6.86,287.668405691839,0.86610436
6.88,285.65787839060556,0.84227157
6.9,285.3479209257427,0.8242922
6.92,284.8484273440992,0.82710636
6.94,283.86738375348585,0.86641264
6.96,283.6292131170661,0.8558631
6.98,284.43076200993056,0.8343049
7.0,284.04203582308264,0.8341495
7.02,284.1776962573918,0.82960457
7.04,285.0987926916006,0.59071934
7.06,287.74423591951916,0.54974174
7.08,285.91509636044555,0.6935971
7.1,283.99694481393715,0.58559704
7.12,283.1316011084104,0.50306475
7.14,281.9307313652471,0.722066
7.16,282.41050186341107,0.8695221
7.18,286.25919941082185,0.84591126
7.2,289.1530954297581,0.8878555
7.22,290.0769940798708,0.8901532
7.24,290.07846895162675,0.9036767
7.26,287.27359771677544,0.8720422
7.28,284.1725464882212,0.8724451
7.3,282.8251576944889,0.8761655
7.32,286.22028286919544,0.8268366
7.34,287.0750834223981,0.8526757
7.36,284.26563316400717,0.8622991
7.38,284.51200207555274,0.8282893
7.4,287.00972794751243,0.7826427
7.42,287.87932505822187,0.868403
7.44,290.64616668543,0.8846171
7.46,290.7416746394896,0.88501894
7.48,285.185689639861,0.8026236
7.5,284.6134419272377,0.62086177
7.52,287.25583115843904,0.73738956
7.54,287.8024080682268,0.8466413
7.56,288.37293348006295,0.83865744
7.58,287.66933530706103,0.87240076
7.6,286.57215268822057,0.86239386
7.62,286.11251726099135,0.84343874
7.64,284.37385110397906,0.812095
7.66,284.83435270098613,0.86280954
7.68,284.7281363606841,0.8978172
7.7,284.13905430506713,0.894359
7.72,284.61645958194765,0.8746752
7.74,283.8129575172524,0.8464328
7.76,284.2423452502996,0.81849945
7.78,288.3380846430709,0.81803036
7.8,290.08455690827384,0.6475078
7.82,286.6060459595064,0.70751286
7.84,287.6318148614565,0.7106542
7.86,286.3861371866119,0.44825652
7.88,282.6046534851562,0.49170262
7.9,284.41176859852584,0.5517684
7.92,287.15252958350663,0.48303637
7.94,284.8054015352908,0.6729202
7.96,285.01388806670997,0.7414954
7.98,285.57540445282706,0.8133374
8.0,284.88596403028004,0.8205127
8.02,286.4464386262114,0.8023405
8.04,287.30298027181084,0.78111374
8.06,282.98218520159503,0.5466234
8.08,282.2006817101275,0.6913924
8.1,285.32015531908473,0.82843417
8.12,285.3738415837265,0.8886624
8.14,287.18475612720516,0.88768905
8.16,291.11969176218685,0.89388335
8.18,290.5244188622657,0.87017614
8.2,286.82625732460633,0.82913744
8.22,285.5900303676075,0.8365453
8.24,287.10005700783904,0.84715074
8.26,289.0673468352612,0.8526407
8.28,287.335458388994,0.8621287
8.3,285.633713465247,0.8872042
8.32,284.9538405305701,0.88036466
8.34,284.56777924737634,0.8540334
8.36,286.3602094978545,0.82643795
8.38,288.4553819212277,0.8620328
8.4,288.2176813367854,0.8901431
8.42,287.6420631422629,0.90204036
8.44,286.91951255286926,0.8652084
8.46,284.569134867293,0.7884923
8.48,284.1790369047164,0.6246723
8.5,286.3433757646728,0.6804902
8.52,286.63714663501185,0.62460184
8.54,286.4533265547323,0.59611416
8.56,287.8992461451489,0.69301915
8.58,286.70274518587325,0.6629294
8.6,284.53196435554537,0.6825637
8.62,285.3306736545813,0.82605875
8.64,285.54540986116905,0.8785305
8.66,284.03881994870346,0.883669
8.68,283.0240928787976,0.8483305
8.7,282.71040473562573,0.85958886
8.72,284.00893259887215,0.8382722
8.74,287.85723838685306,0.85322
8.76,289.5057449612473,0.88232434
8.78,288.0620845284429,0.90569615
8.8,287.68737545303475,0.86221045
8.82,286.28623246554343,0.7751025
8.84,282.879794230978,0.72547245
8.86,280.6610484247104,0.79046726
8.88,281.7503821496592,0.81210375
8.9,285.4973989085803,0.77887315
8.92,285.97370927894167,0.64698076
8.94,287.39215190565426,0.5864301
8.96,290.22484105072556,0.5365991
8.98,288.93033183873956,0.69484437
9.0,285.9628910783978,0.74220765
9.02,283.334128776069,0.7422544
9.04,281.6758084860147,0.32446697
9.06,286.35228487856017,0.44501182
9.08,284.87914373145816,0.85678077
9.1,284.6911831299166,0.877375
9.12,284.3028163240581,0.878887
9.14,286.06746639958607,0.8385488
9.16,287.1984373519664,0.79548943
9.18,285.1954144835454,0.76304644
9.2,285.0417773103691,0.84087574
9.22,285.32393465602115,0.8530582
9.24,284.59273714374314,0.87510514
9.26,282.9141167633383,0.82284236
9.28,282.1273715903179,0.8219646
9.3,284.98133211324074,0.84310925
9.32,286.15106305236736,0.8237484
9.34,288.0175233697425,0.7888846
9.36,287.6763315494887,0.873551
9.38,286.44180412705805,0.8180138
9.4,284.16562297563655,0.81746143
9.42,284.3181489801418,0.79879284
9.44,288.3040457834569,0.8442161
9.46,288.4474554987732,0.7556062
9.48,286.59061122961805,0.6123242
9.5,285.38721456208776,0.68798596
9.52,286.43979426914785,0.6557023
9.54,286.5450980859376,0.49761415
9.56,287.8137415935056,0.5358257
9.58,287.755133109382,0.57646835
9.6,285.38414221610554,0.59037006
9.62,285.0789311062264,0.474123
9.64,284.5212623648971,0.5997964
9.66,284.1925768682693,0.6277893
9.68,285.01800618201224,0.65975744
9.7,284.51090344339127,0.691742
9.72,281.8945102555103,0.56793225
9.74,280.3257588951651,0.5645875
9.76,282.4119729847022,0.76114386
9.78,285.20326967861246,0.8407389
9.8,285.0053581266399,0.8617392
9.82,283.968138293791,0.8691161
9.84,282.6330298615935,0.8509229
9.86,282.75545727636154,0.8105712
9.88,282.02583474822126,0.7567556
9.9,281.9018398029137,0.59816563
9.92,284.79134062801126,0.60034466
9.94,286.5651944288049,0.8211681
9.96,286.43055717614266,0.8563825
9.98,285.06631946370237,0.8680389
10.0,284.8429608920076,0.876476
10.02,287.343284089724,0.885566
10.04,288.0596077864513,0.8748435
10.06,287.17715309274195,0.82199866
10.08,287.30134253708553,0.6728027
10.1,287.98769409481594,0.62675786
10.12,287.5838678797737,0.7947946
10.14,286.52952911181137,0.85986423
10.16,287.14195113359426,0.8957149
10.18,286.16636878137945,0.87909937
10.2,284.2939594641447,0.8462558
10.22,281.8302121474978,0.8560147
10.24,284.206020755548,0.8906107
10.26,286.9050465194382,0.8849883
10.28,287.9636531571967,0.87923497
10.3,287.23559820829615,0.8358104
10.32,285.4466228381825,0.8774941
10.34,287.6813096315602,0.9134503
10.36,288.53237609504686,0.91581625
10.38,288.34448103784314,0.9174629
10.4,287.1661113086382,0.89292014
10.42,285.55385139064424,0.8941201
10.44,284.5245568825626,0.8833394
10.46,282.6479257567447,0.87467337
10.48,284.51881398764397,0.85389197
10.5,286.09451451039337,0.8237784
10.52,286.1728408719681,0.82094604
10.54,285.81536164078415,0.82587713
10.56,286.5778908738954,0.8881744
10.58,286.76782151749757,0.8864703
10.6,284.96454764255765,0.8861153
10.62,285.00183732583713,0.85546005
10.64,287.03666269269115,0.8399133
