time,frequency,confidence
0.0,342.0818838011092,0.0992222
0.02,342.1158138410773,0.045324102
0.04,346.609033678289,0.35728586
0.06,324.0385269804552,0.24461605
0.08,354.08630411954795,0.14717129
0.1,358.0036491999108,0.24571866
0.12,356.76504890747054,0.2220642
0.14,359.13462612996886,0.28476146
0.16,362.8492943384618,0.48944616
0.18,365.0694340902649,0.45181486
0.2,343.00027185584696,0.22885257
0.22,350.7762218697378,0.4977902
0.24,351.3224262083512,0.69499195
0.26,349.61382679066327,0.84303486
0.28,347.1962146599199,0.86329234
0.3,345.7479146642604,0.8589288
0.32,345.878450325307,0.8579173
0.34,348.8459374698281,0.88533473
0.36,349.9309712588662,0.89819956
0.38,343.86886622362783,0.7249688
0.4,342.2462586981487,0.65686756
0.42,347.3848353758742,0.8084782
0.44,348.42899810620474,0.8803036
0.46,352.9783430599318,0.83048993
0.48,366.4918981992322,0.6595906
0.5,370.82786024778886,0.79451525
0.52,365.85483788649685,0.6924734
0.54,327.15425614341507,0.2935975
0.56,342.05526789191885,0.36964345
0.58,353.6441987788234,0.653077
0.6,353.7348547789654,0.84783524
0.62,353.08967048415036,0.8876708
0.64,352.7740842869856,0.8954782
0.66,355.6971566065767,0.87827235
0.68,358.0621943164494,0.8944101
0.7,353.3325740482128,0.8532714
0.72,337.3412249156107,0.5576692
0.74,321.8890993399135,0.6574326
0.76,306.11448311842,0.59186304
0.78,275.82033446839216,0.59109205
0.8,267.2079507296854,0.83320105
0.82,268.90083188601466,0.6779928
0.84,280.74743658300724,0.36943376
0.86,318.8952412905345,0.52220285
0.88,362.3251364006256,0.6999016
0.9,341.4791893797547,0.36012357
0.92,329.2936547296515,0.7807546
0.94,316.9724042748162,0.65118575
0.96,291.77757140468043,0.5583592
0.98,274.0609939009127,0.6594453
1.0,259.51264634210185,0.81342167
1.02,261.6012718534612,0.8059975
1.04,270.2956015740304,0.683314
1.06,284.29335342862964,0.58491886
1.08,301.57612547245253,0.723739
1.1,299.157389765819,0.5952078
1.12,282.3235815425575,0.50661075
1.14,269.90414342950334,0.6016685
1.16,283.2286568583066,0.6905008
1.18,316.29243605628255,0.27083194
1.2,324.2359319170315,0.72183627
1.22,324.5671118191398,0.6633736
1.24,315.5768338006101,0.28426912
1.26,291.9276025854219,0.22577658
1.28,316.62525227666293,0.44398057
1.3,312.68629195177266,0.5086006
1.32,317.63291172728793,0.15672918
1.34,326.2760978433213,0.79571545
1.36,335.80089421325937,0.50584114
1.38,345.42375288742437,0.25556335
1.4,359.24640521382446,0.42151907
1.42,372.7131929334944,0.80302733
1.44,364.7112469739411,0.47747204
1.46,339.06290897855047,0.43946564
1.48,325.20429846041463,0.31849328
1.5,292.71740574672657,0.86211455
1.52,281.15282790123234,0.861462
1.54,283.74080121186734,0.40843874
1.56,283.50394901062384,0.5382432
1.58,274.13175652626967,0.71441996
1.6,276.0438305690945,0.6927004
1.62,274.39028259727,0.20245223
1.64,261.8864207934298,0.6776979
1.66,258.4947840700348,0.58746755
1.68,251.68822551604876,0.52263975
1.7,259.603128204543,0.5216525
1.72,280.5190165792043,0.55511606
1.74,307.6695406043174,0.44781384
1.76,318.6901414516877,0.67021775
1.78,321.14598353284526,0.44861433
1.8,287.9904207638702,0.13649902
1.82,261.39018193906423,0.47426167
1.84,263.7710476433973,0.8123585
1.86,266.6599686671851,0.8661198
1.88,268.62384955448834,0.8800359
1.9,270.1774387872605,0.8618737
1.92,266.4056301059798,0.86066955
1.94,261.0495270529549,0.5850476
1.96,263.3325098345534,0.2638415
1.98,269.0238692686048,0.2545634
2.0,273.8996860858417,0.56095636
2.02,272.9925510907768,0.12016683
2.04,272.2355697091586,0.22064744
2.06,272.273909155725,0.33181697
2.08,281.1565101109699,0.61545956
2.1,285.8471633303241,0.66996515
2.12,286.34081830575747,0.4681969
2.14,277.7683394614175,0.389151
2.16,271.8634055960944,0.66546816
2.18,272.94513488228637,0.5230289
2.2,282.95996918146113,0.23269218
2.22,248.41097232312808,0.29787567
2.24,226.91218699064822,0.6157908
2.26,232.85596853677396,0.5867247
2.28,251.67567747631298,0.49427092
2.3,262.0843896215519,0.29789558
2.32,280.25210904341736,0.3186182
2.34,319.27549924855776,0.5767147
2.36,338.5662170215463,0.7773194
2.38,328.047697182771,0.69932336
2.4,318.75236141013295,0.7638951
2.42,302.9342008416257,0.6807977
2.44,287.3691332617355,0.84935904
2.46,277.5769473679739,0.88772476
2.48,272.82294440300797,0.8732276
2.5,269.2234212194818,0.8868001
2.52,264.56829051791055,0.89805776
2.54,264.10523345255064,0.8912075
2.56,267.9305461749829,0.8891358
2.58,268.38068216891986,0.90423864
2.6,266.61738359256884,0.89582556
2.62,262.9438490460286,0.90762895
2.64,258.0268760728908,0.77224684
2.66,255.69634783597274,0.7964187
2.68,255.80816408198373,0.8153267
2.7,261.48345031125234,0.7296461
2.72,266.8760964403108,0.6164248
2.74,289.91863890494875,0.57189083
2.76,306.7768235081803,0.4472151
2.78,283.6600087773132,0.7144449
