time,frequency,confidence
0.0,256.33557337804064,0.1629153
0.02,263.01732707207054,0.19358966
0.04,271.36155600771383,0.54427665
0.06,273.8087598303666,0.5030335
0.08,247.3529255899137,0.21867394
0.1,218.4456627968345,0.1958865
0.12,221.7571834097448,0.23906337
0.14,228.74636689612814,0.2571606
0.16,230.9228507284888,0.1929109
0.18,230.40193393339135,0.24645154
0.2,219.3719040355978,0.11542108
0.22,199.4866781682827,0.053974193
0.24,187.598631479451,0.5462992
0.26,187.02084488136464,0.68026
0.28,191.9094607480942,0.4144373
0.3,194.59573985033316,0.4299483
0.32,185.66146251431402,0.4115417
0.34,180.13213317339464,0.44071567
0.36,177.77434358181176,0.2555304
0.38,179.68739960780556,0.5495546
0.4,181.59249190557603,0.2135841
0.42,184.8836131781815,0.24699128
0.44,188.95061616052777,0.26511276
0.46,186.40468751944056,0.488116
0.48,186.33330816524168,0.6316441
0.5,185.75899585703436,0.32743764
0.52,182.09913048539394,0.23393121
0.54,185.6409723798197,0.1487614
0.56,186.397065207377,0.062041063
0.58,186.41023941243245,0.10556223
0.6,184.12036686978604,0.11910608
0.62,183.61640390708797,0.16459107
0.64,185.05351634429886,0.48729602
0.66,189.32545966845902,0.53040254
0.68,192.6020390075391,0.6045375
0.7,195.87594004173937,0.7407163
0.72,195.8529433881333,0.8437049
0.74,194.801206326346,0.849769
0.76,194.01635938413403,0.82877696
0.78,197.41085663332063,0.8787925
0.8,196.7123160348333,0.91387826
0.82,194.91774155266359,0.8090644
0.84,194.4525706018155,0.8395418
0.86,194.0886645998697,0.8700674
0.88,194.26386676498996,0.84188646
0.9,195.80131685874304,0.8167559
0.92,194.903901311463,0.8009244
0.94,193.884744918055,0.32451305
0.96,191.74023743945486,0.49152282
0.98,180.71797617179362,0.41590494
1.0,179.90129113433667,0.6374432
1.02,183.02683544602513,0.7634268
1.04,187.01295812715958,0.8376525
1.06,189.38293433291452,0.8047215
1.08,189.74300275254285,0.71785027
1.1,189.94571891782212,0.8261152
1.12,191.08854001121847,0.8249049
1.14,191.81930211617836,0.8638875
1.16,192.32457418230473,0.8765444
1.18,191.75856337785018,0.83736783
1.2,190.72056898000383,0.7904432
1.22,192.89155240267436,0.84890574
1.24,194.31734227248742,0.8800704
1.26,193.45929670896817,0.8906241
1.28,193.87896277207562,0.8524214
1.3,194.34704621997076,0.8651073
1.32,194.94965666304586,0.83376575
1.34,203.2205484866122,0.74612045
1.36,205.6374033331607,0.8714665
1.38,203.32833954579044,0.6895036
1.4,194.94789897129206,0.7193775
1.42,190.4644580861955,0.6550635
1.44,192.8160774934687,0.63601565
1.46,194.0940841318476,0.77500165
1.48,193.46681148722294,0.79561865
1.5,208.0485754402244,0.69391954
1.52,231.32554526984535,0.24863455
1.54,256.24876918429044,0.46478727
1.56,255.09169793719923,0.79530895
1.58,247.91195418047178,0.5303467
1.6,231.90514206385222,0.22645134
1.62,208.01289716611188,0.6735811
1.64,200.66291609274492,0.6174607
1.66,200.87507579446333,0.7828466
1.68,203.39597247716267,0.7948674
1.7,210.08171398725216,0.6626512
1.72,220.35732471309865,0.32680136
1.74,232.62458095423457,0.6698631
1.76,228.02731506132406,0.8321393
1.78,223.40640405042151,0.8447013
1.8,214.34202181065888,0.76050216
1.82,189.11059083808368,0.24590275
1.84,187.1519492213125,0.7229059
1.86,185.5840496194261,0.6945733
1.88,203.34347393514247,0.49410847
1.9,211.98717286093762,0.7313252
1.92,209.09252825602204,0.35344213
1.94,197.41124348185355,0.6439297
1.96,180.04514530684818,0.3338484
1.98,175.2042573860379,0.20300114
2.0,178.1275808944409,0.2618107
2.02,186.23794498874943,0.5463504
2.04,197.2838028211462,0.8020863
2.06,203.89254987565766,0.7473267
2.08,204.41755003287176,0.84305
2.1,201.67423364189364,0.86800367
2.12,198.48878928790018,0.87992567
2.14,197.04095894218128,0.9184773
2.16,198.67880527745064,0.84067
2.18,199.76143980279844,0.72968674
2.2,200.15032490558923,0.81696284
2.22,197.25992703644476,0.8175219
2.24,193.49873592616348,0.7757914
2.26,196.139012485594,0.8443495
2.28,202.77454915925844,0.7410637
2.3,204.88680320027134,0.7555367
2.32,207.0880275925918,0.7771004
2.34,208.13636632677236,0.7813852
2.36,204.98793041416548,0.62224156
2.38,193.24546478842933,0.7459331
2.4,190.61640123422598,0.8191444
2.42,192.0435678628939,0.89138603
2.44,192.75031080528572,0.8664092
2.46,192.94762176943252,0.8296444
2.48,194.25425061912418,0.8763684
2.5,194.85967827885898,0.88800067
2.52,195.67801554870724,0.8855435
2.54,194.17928044893364,0.65826833
2.56,196.0840102765769,0.6111766
2.58,197.36586298569037,0.8275957
2.6,196.61406661942704,0.908985
2.62,197.2543296342516,0.8866217
2.64,196.39013957951622,0.89154696
2.66,194.0568374373009,0.85400057
2.68,193.53935010541645,0.7028803
2.7,195.18880747633267,0.63441646
2.72,196.50160924299868,0.3909861
2.74,195.19036935654142,0.51755
2.76,195.12058827128976,0.39630416
2.78,193.48083578585022,0.7202757
2.8,192.90720249858447,0.84960866
2.82,193.1359459139023,0.8190905
2.84,193.58766289202788,0.79978484
2.86,194.4968468652763,0.807412
2.88,195.84614482615552,0.8623376
2.9,195.8604343245375,0.8229767
2.92,196.8660986687559,0.8520782
2.94,194.74944984825083,0.885922
2.96,194.24294461416312,0.9071268
2.98,194.816768631738,0.90486914
3.0,195.4259790295687,0.9056814
3.02,196.02222673084475,0.911688
3.04,195.14150098236033,0.88136786
3.06,195.26010482559914,0.86574996
3.08,193.50197155352035,0.8856279
3.1,192.17335767591038,0.8903914
3.12,191.2396858231392,0.8372787
3.14,191.90055487667948,0.8237817
3.16,195.98678957874444,0.8703629
3.18,194.97831191270177,0.8424147
3.2,195.91074632259705,0.9074472
3.22,196.9243996265254,0.8738167
3.24,194.98247554370175,0.86831
3.26,193.9731245696059,0.8653215
3.28,193.33730825302328,0.82640445
3.3,193.76079511426215,0.8671812
3.32,193.55594748359698,0.8584765
3.34,194.89397651570553,0.8911917
3.36,195.56555569597694,0.91666114
3.38,196.9439649273914,0.8966001
3.4,197.93030902540838,0.8665488
3.42,197.53850669480144,0.8699578
3.44,194.58587580844576,0.8442714
3.46,193.0287908011366,0.85436887
3.48,192.87491206208284,0.82289827
3.5,193.39165163259327,0.8251894
3.52,195.83001634106142,0.8076216
3.54,198.38205474219947,0.7475866
3.56,193.97985187113434,0.7142004
3.58,214.59288438828028,0.81993085
3.6,238.89824992899264,0.71799076
3.62,275.03796917898126,0.50196105
3.64,267.40122703454256,0.76942027
3.66,265.41586314796336,0.3915083
3.68,297.3438340139342,0.21358268
3.7,341.422412044161,0.7076785
3.72,368.24189252873066,0.5171354
3.74,411.2834395359769,0.25104216
3.76,406.590679982612,0.60560465
3.78,394.6844290777425,0.6885623
3.8,387.4967737585889,0.67805505
3.82,386.55436301214996,0.37390766
3.84,342.66327165648823,0.36696216
3.86,354.9088632003021,0.3781084
3.88,360.60497105539685,0.5567808
3.9,352.36367955298937,0.47137666
3.92,338.15760461353034,0.18448736
3.94,325.8615028412605,0.43033656
3.96,315.16787511276425,0.21304755
3.98,313.5611609889346,0.28140843
4.0,330.32653377008353,0.5684299
4.02,337.53783955771894,0.6380873
4.04,348.21629628415724,0.60066915
4.06,354.181211403999,0.60723746
4.08,347.3220512777492,0.4474521
