time,frequency,confidence
0.0,193.49614246128743,0.101522006
0.02,195.55286429013864,0.031485878
0.04,201.63499355422329,0.25905883
0.06,196.20609116120673,0.15961929
0.08,205.95905213246954,0.13779783
0.1,215.0179972367499,0.14180107
0.12,229.5329174887287,0.21218432
0.14,261.60544959118386,0.27665746
0.16,275.1385258401932,0.24748574
0.18,276.0882797590492,0.24831077
0.2,292.7776871630242,0.39244762
0.22,262.7367788496624,0.2404535
0.24,263.6600209354074,0.48366046
0.26,259.2866986977615,0.6603271
0.28,268.7894401243735,0.55051553
0.3,273.28832956919695,0.3966511
0.32,276.4446833298593,0.36326432
0.34,274.5489922996561,0.53931874
0.36,288.3009330337909,0.4946345
0.38,296.7279954442975,0.746086
0.4,296.80379827498496,0.8254781
0.42,294.39519500432937,0.8998287
0.44,297.5872830872602,0.8886137
0.46,295.0091117654035,0.9224125
0.48,295.1439547600801,0.9246012
0.5,295.7651455716594,0.92039084
0.52,295.3151934045713,0.913477
0.54,296.9647647765311,0.87488604
0.56,301.24915313012855,0.8268384
0.58,299.30669746119565,0.6974169
0.6,295.7811070807477,0.86292154
0.62,293.5598012176116,0.85948527
0.64,291.9469544020192,0.8749448
0.66,300.8835825010299,0.7110505
0.68,302.4286442710458,0.6305101
0.7,294.74039981932606,0.8515676
0.72,290.9727215898875,0.90509546
0.74,291.3946161192337,0.88698655
0.76,293.2395706272009,0.908126
0.78,293.69977669004095,0.7788726
0.8,293.1663895825026,0.8763324
0.82,287.7570826970509,0.7104522
0.84,264.90244514973205,0.7335715
0.86,273.78120727102856,0.6519158
0.88,296.04860487988054,0.57758677
0.9,296.8493624738077,0.8295075
0.92,298.36681793444154,0.8390249
0.94,298.4664953824208,0.80636466
0.96,291.17446001304376,0.7053477
0.98,285.740389652736,0.8457179
1.0,291.99101939140246,0.9012917
1.02,296.0206495064113,0.8491769
1.04,312.09616125073234,0.70905995
1.06,313.89695474207315,0.7063889
1.08,307.2657711392486,0.44314486
1.1,305.84999066213703,0.661483
1.12,298.1878713107104,0.7237265
1.14,295.6350631248351,0.9164348
1.16,293.4456758145721,0.9178173
1.18,296.6280979067084,0.9018027
1.2,297.37529246060035,0.9071732
1.22,292.7228836621937,0.79611325
1.24,294.52976669259857,0.46593246
1.26,298.39124003141586,0.81466585
1.28,305.27955638339364,0.8359704
1.3,309.1090218805804,0.8356473
1.32,314.74177071253763,0.74734724
1.34,313.1381170395722,0.4072156
1.36,299.2189363354197,0.52765965
1.38,296.5550158464166,0.7180073
1.4,297.22498577907845,0.85486627
1.42,297.8395533048242,0.91347164
1.44,299.0641826617179,0.89495504
1.46,297.5540833596606,0.8903457
1.48,291.2442770002594,0.70157707
1.5,291.0039446363348,0.44581777
1.52,294.92782818142865,0.70858634
1.54,296.61977667223977,0.8521722
1.56,297.21871196263623,0.90401745
1.58,298.53790715653406,0.88961005
1.6,298.67273740642224,0.8964312
1.62,294.2690802046386,0.83972216
1.64,268.0727140096009,0.3268207
1.66,284.49540851835485,0.8259208
1.68,295.22540886880876,0.8735456
1.7,301.67487366075204,0.8731517
1.72,306.77978391828907,0.84610486
1.74,302.24609188474045,0.7661269
1.76,298.822751810324,0.53841853
1.78,285.7214925891625,0.53813136
1.8,284.7695260800284,0.48567206
1.82,284.5663023151882,0.56298786
1.84,285.3610084307775,0.8326976
1.86,286.6776178374304,0.46915713
1.88,261.33020929510656,0.14747939
1.9,265.65223033070697,0.42928952
1.92,282.8072264348009,0.38208136
1.94,291.2700526774163,0.59911114
1.96,291.15236606114956,0.89308757
1.98,293.3460326348471,0.86308986
2.0,299.99517167674975,0.833641
2.02,291.60801606225573,0.40368348
2.04,262.7216344751623,0.4881162
2.06,251.65835844481254,0.7607272
2.08,245.13895909876015,0.6821679
2.1,242.18329325055092,0.4257176
2.12,244.092903557286,0.78461134
2.14,246.3211957740289,0.7446164
2.16,242.74417297255235,0.39704564
2.18,237.45519894321663,0.5421391
2.2,231.42284716857333,0.6769409
2.22,221.35692170506385,0.59720796
2.24,213.2159874631564,0.58806086
2.26,236.21597845176865,0.23526265
2.28,257.20125952927367,0.53783876
2.3,247.2282509707626,0.36089927
2.32,252.48801456302036,0.37329707
2.34,273.5490504197301,0.78984964
2.36,274.9311628624137,0.6328416
2.38,290.63874497597897,0.22738904
2.4,302.3218183041281,0.6793205
2.42,302.8576452226519,0.5764601
2.44,290.4021367563923,0.20354655
2.46,261.3947016552924,0.6235213
2.48,258.18164917167314,0.7904023
2.5,259.6643722395203,0.59891987
2.52,294.91833160403166,0.7802452
2.54,303.9635403851835,0.8518399
2.56,301.352626526596,0.88251513
2.58,288.97694057240113,0.8234851
2.6,283.8151991218104,0.8545058
2.62,287.6718082194207,0.8204864
2.64,290.8574172930839,0.43230402
2.66,312.61672442589554,0.755802
2.68,312.05531521178193,0.8588265
2.7,294.18161674592113,0.6227654
2.72,292.25472532812614,0.86203414
2.74,295.04467626060983,0.90983677
2.76,294.21871318481897,0.90554565
2.78,297.1619131914774,0.8835545
2.8,304.0359089704636,0.8530903
2.82,303.115930935636,0.85901767
2.84,286.7733971244945,0.41434294
2.86,267.4450409570461,0.56489074
2.88,270.37558748012736,0.48028165
2.9,283.3948771658363,0.7898339
2.92,287.5385842226479,0.5475825
2.94,296.1179955226687,0.31398028
2.96,294.95094359038194,0.37473384
2.98,278.22675755001245,0.48017782
3.0,280.42049948356384,0.7035794
3.02,286.2909243012008,0.20479791
3.04,291.27495030752306,0.34901175
3.06,301.2066687418244,0.5569621
3.08,292.77425472048776,0.7210502
3.1,292.63939954953605,0.67309415
3.12,294.50937073307136,0.2661789
3.14,288.7563968343002,0.6781982
3.16,290.10804195100496,0.77154344
3.18,289.9753267433436,0.28270328
3.2,295.3756193452771,0.34521225
3.22,294.02195537228033,0.26837388
3.24,279.67054241860455,0.3273121
3.26,244.40439691356332,0.22849093
3.28,226.40364136774295,0.5838187
3.3,228.214985829436,0.76761585
3.32,225.68047766711607,0.3389099
3.34,217.8115388421249,0.3309559
3.36,210.99756226267257,0.6371064
3.38,211.17647437354773,0.37130558
3.4,211.20614470027104,0.16420758
3.42,207.8879582942291,0.50725216
3.44,216.42065488578427,0.29567832
3.46,237.3643214138387,0.5578066
3.48,256.3835729660237,0.69063663
3.5,255.70304678227163,0.39314106
3.52,225.1847499057806,0.697227
3.54,220.29675005348992,0.8016326
3.56,221.45122684735526,0.8493352
3.58,227.60111413731835,0.827847
3.6,230.09949927899274,0.839884
3.62,223.72701748618135,0.43880016
3.64,227.55568528642885,0.22573209
3.66,219.38151464499268,0.32600003
3.68,239.58060315062465,0.17528412
3.7,262.39523401326426,0.70061207
3.72,262.99105451613946,0.60834825
3.74,238.94894449543514,0.516641
3.76,224.1458014380079,0.62153727
3.78,216.14888321612978,0.519167
3.8,221.3804540811783,0.6957944
