time,frequency,confidence
0.0,223.37933799211316,0.06533405
0.02,228.3417601421457,0.04859022
0.04,231.2430591754801,0.12613948
0.06,239.9639982332468,0.4042112
0.08,243.37740087175513,0.2533158
0.1,261.0153986957395,0.21066457
0.12,264.59912001396464,0.2964573
0.14,272.83335817477405,0.14460415
0.16,274.69937658235034,0.30848804
0.18,250.95098275439096,0.29106432
0.2,282.5984700713167,0.43871224
0.22,279.45962128933047,0.7100717
0.24,273.40586724541447,0.745715
0.26,262.6677605292344,0.60759467
0.28,257.7129119781771,0.5181367
0.3,264.6446987872803,0.34192777
0.32,269.9145217890318,0.22835326
0.34,265.6219777434136,0.50708675
0.36,264.1979251733408,0.2349329
0.38,253.01270108005096,0.31646782
0.4,240.35203230605742,0.34474048
0.42,219.54689123535354,0.5586264
0.44,210.5624158951723,0.7971139
0.46,215.76287835338917,0.8445058
0.48,221.70483265014963,0.8542015
0.5,225.6850224232839,0.8777734
0.52,221.63776209508808,0.8760598
0.54,217.22379224104756,0.8529282
0.56,211.0995743376135,0.79428023
0.58,205.17309104036616,0.8356489
0.6,203.79975146796167,0.8589327
0.62,206.15705140948455,0.85249627
0.64,210.29759993773308,0.8534292
0.66,216.23540084056043,0.85028845
0.68,223.29451093580448,0.78778625
0.7,231.54691737971973,0.82020795
0.72,225.80284521732875,0.7609068
0.74,213.52894585616437,0.7203828
0.76,205.66499896020403,0.8194365
0.78,201.72246185184088,0.84640336
0.8,201.88354621469412,0.8193455
0.82,201.8030935379069,0.45834404
0.84,200.91195136051368,0.777904
0.86,199.35407171246447,0.8547492
0.88,196.83123217473917,0.89264894
0.9,195.05846894346607,0.84967273
0.92,192.99756758721156,0.8173708
0.94,191.54721958138921,0.81831384
0.96,192.79812996513755,0.8228185
0.98,194.923594059117,0.787561
1.0,198.3845420972346,0.8248847
1.02,202.58802139575695,0.7994748
1.04,205.51113890567012,0.8589785
1.06,205.1456659299571,0.8520696
1.08,200.3544006137172,0.7824439
1.1,193.81388775117898,0.8021022
1.12,188.9446591068928,0.73158276
1.14,188.13109319293315,0.6126803
1.16,189.9303585397447,0.65176666
1.18,193.09810379782036,0.3432645
1.2,190.10735615025496,0.20639485
1.22,187.24156687930335,0.41221687
1.24,188.02489959155295,0.65796286
1.26,186.58978864317586,0.414005
1.28,183.64686769260396,0.4752625
1.3,183.7220658817044,0.49628568
1.32,184.76391481027173,0.38877276
1.34,187.89203556755052,0.5691767
1.36,189.00131481790902,0.32381114
1.38,185.65854689111475,0.14971921
1.4,196.57853357042075,0.29318997
1.42,217.7083533015178,0.41871077
1.44,222.28516307583038,0.35959455
1.46,217.93784016882523,0.20185517
1.48,199.53312759594937,0.12771094
1.5,179.7961941167694,0.38602474
1.52,187.77581908426066,0.3743836
1.54,188.03833482981418,0.43892607
1.56,185.2060640260907,0.44642124
1.58,193.36517757908084,0.4931765
1.6,188.36563436454537,0.15414155
1.62,200.93166055670457,0.4592735
1.64,211.50707328084405,0.51288474
1.66,218.29894244093748,0.40234765
1.68,219.1537176687931,0.7519233
1.7,218.35472107288538,0.88099754
1.72,220.96243667924398,0.89603895
1.74,223.35547604323594,0.8962497
1.76,220.73196223437606,0.85254425
1.78,215.65117548047684,0.7959528
1.8,209.9449832250212,0.6843091
1.82,208.46946089233847,0.812728
1.84,214.02176985715943,0.8033283
1.86,219.74520090279154,0.8256949
1.88,235.82565520897376,0.5118681
1.9,238.3625420950581,0.77395076
1.92,229.4562287743702,0.75249517
1.94,217.98675252274938,0.68358696
1.96,192.2800099112354,0.36886388
1.98,168.42983694685364,0.50782657
2.0,159.80851177856957,0.55225253
2.02,150.8730096689704,0.6946089
2.04,158.44216617410788,0.2367713
2.06,173.9544582150471,0.23662984
2.08,190.41549885418206,0.6967448
2.1,189.0213214312894,0.77424663
2.12,188.42069780606576,0.7205682
2.14,188.51239954783549,0.70232797
2.16,188.89091658312864,0.65541714
2.18,188.88543069821466,0.37893265
2.2,190.99967326680348,0.59292114
2.22,191.5652621994417,0.487197
2.24,190.61676056233028,0.77054733
2.26,188.79825976206035,0.809772
2.28,185.84539297854678,0.49693012
2.3,185.8637612424906,0.6387827
2.32,189.27747085174963,0.68582785
2.34,190.80789671828202,0.73913085
2.36,188.40445299995167,0.6019474
2.38,185.86350590872829,0.61042166
2.4,181.03981344578153,0.73656607
2.42,182.99817069132516,0.7755749
2.44,192.42669383979688,0.5186958
2.46,195.02975820999623,0.5717844
2.48,189.9333813415163,0.49728015
2.5,189.50370036542253,0.7980486
2.52,192.35733158563022,0.83399606
2.54,198.22438871781407,0.8401335
2.56,203.79321096947365,0.8019398
2.58,209.09761157744214,0.8189833
2.6,211.44846951906163,0.8420336
2.62,213.8535477707017,0.82269764
2.64,216.1623664494239,0.81949186
2.66,218.7951335277367,0.70282584
2.68,221.28336307103922,0.6910718
2.7,224.9886402133859,0.7163417
2.72,230.6276011688609,0.21281129
2.74,229.31136545980047,0.29453754
2.76,225.63685643728763,0.33943084
2.78,228.54352667015132,0.2524384
2.8,212.6500259360006,0.6211003
2.82,208.59320668191435,0.6489025
2.84,190.43690810146785,0.59529185
2.86,193.5149049693905,0.14170864
2.88,186.5521953924991,0.16371104
2.9,176.97426703613706,0.3874502
2.92,180.15605763350618,0.2568411
2.94,185.71169438276291,0.53774035
2.96,187.1168714287893,0.80463207
2.98,192.37058774597728,0.6137049
3.0,206.766599825701,0.4709133
3.02,204.75706948458293,0.38800764
3.04,191.22825667965498,0.37788537
3.06,191.10497883586433,0.53130275
3.08,191.08065337379375,0.8026017
3.1,191.48570535524098,0.81495714
3.12,193.19832724931842,0.79387695
3.14,197.87602061165887,0.4896464
3.16,201.50369893907884,0.33226523
3.18,190.00410372996606,0.6944286
3.2,181.75076879161867,0.6777336
3.22,175.74253298302378,0.7211913
3.24,177.78221722206524,0.8079561
3.26,183.52867012057513,0.80410725
3.28,191.05246384504517,0.77576065
3.3,196.13805720859457,0.8319224
3.32,202.3648382017545,0.7609743
3.34,204.43666805701366,0.7719915
3.36,198.5524126107066,0.6950492
3.38,196.89340370717736,0.84495187
3.4,194.25613858855016,0.8357155
3.42,191.3454880666656,0.7599929
3.44,189.30357719222113,0.77925205
3.46,191.30066996486414,0.7629298
3.48,194.52468148989095,0.7504982
3.5,199.2537345433745,0.84048766
3.52,201.73236486819278,0.89161456
3.54,199.94536485773725,0.83799684
3.56,194.72886508747078,0.8261944
3.58,189.91773788200265,0.75916636
3.6,183.8861958303583,0.74380606
3.62,180.14043357492886,0.745854
3.64,176.56210630002437,0.65049666
3.66,171.44843484232342,0.5049536
3.68,166.925063484936,0.74422395
3.7,162.56228926079888,0.6582978
3.72,167.13274389079936,0.61390597
3.74,166.6111170088966,0.4062847
3.76,159.59458262600063,0.25573474
3.78,146.31877493606027,0.25760406
3.8,147.3147894155646,0.57851666
3.82,156.594316574652,0.6116576
3.84,162.9319190481791,0.6497073
3.86,162.3511501881435,0.47392258
3.88,162.72274070501865,0.2858063
3.9,160.75857303677213,0.21820964
3.92,162.24050513734358,0.3897582
3.94,166.8436890493788,0.31070387
3.96,176.62140983938397,0.0779451
3.98,181.55824078978068,0.44499633
4.0,181.86344310376072,0.54274464
4.02,185.7081117586107,0.4073016
4.04,185.1982593845284,0.5017737
4.06,181.07057795031176,0.37305403
4.08,181.82092095126748,0.4569871
4.1,191.08918496622917,0.66573954
4.12,188.57419733930473,0.5815755
4.14,186.55288198161557,0.47429526
4.16,186.7698690559,0.6283547
4.18,186.1774534046089,0.7452549
4.2,186.21930584367448,0.77659315
4.22,173.93722250635398,0.30126885
4.24,185.2682126332975,0.21508081
4.26,187.07785138237762,0.18485293
4.28,190.4527184320973,0.40934125
4.3,187.2847954359151,0.74125576
4.32,190.41648678061338,0.503809
4.34,173.9856898107814,0.25024506
4.36,183.07381028120545,0.18038374
4.38,190.1545240137523,0.49359214
4.4,191.11133431871022,0.5211668
4.42,191.32509601438062,0.49502432
4.44,190.87884157166826,0.6633707
4.46,189.51794031205506,0.5963857
4.48,187.6753644218112,0.5850986
4.5,188.89335212992276,0.46167478
4.52,191.57996908473507,0.4814426
4.54,192.894548171383,0.6961372
4.56,193.73444370612725,0.74526
4.58,192.10453279580753,0.7580247
4.6,189.20274418137666,0.52527493
4.62,185.77911739680314,0.504449
4.64,188.54125506726842,0.72046983
4.66,189.59632756256508,0.74074566
4.68,192.5390255155391,0.7203077
4.7,193.32021430950346,0.6081027
4.72,192.8909518672598,0.6591685
4.74,190.86565178253866,0.8055751
4.76,187.20831200716336,0.6031156
4.78,185.3787181159333,0.85822964
4.8,187.09190971580063,0.84068346
4.82,189.1459995907084,0.83284914
4.84,187.83604966342966,0.74580914
4.86,186.59242838120022,0.78217787
4.88,189.40835192713334,0.8541151
4.9,192.74317000560035,0.8576813
4.92,194.911645836136,0.8057028
4.94,195.92081026036487,0.80586123
4.96,194.77651304269352,0.83444154
4.98,193.46439369032072,0.8559961
5.0,192.01382578099606,0.86441517
5.02,193.69276473711426,0.84230334
5.04,195.837762934826,0.8415351
5.06,198.3753676591803,0.8577464
5.08,200.32453368849872,0.7823636
5.1,199.35416671026962,0.7537332
5.12,194.32216899549178,0.782238
5.14,186.64500255036256,0.7605404
5.16,181.73118729335943,0.7239179
5.18,190.52714008511276,0.66025215
5.2,205.1283664940284,0.46107578
5.22,219.05863947115284,0.53076476
5.24,231.91651190674213,0.35450503
5.26,207.93830018149845,0.48398146
5.28,204.77509989241452,0.8178635
5.3,201.0780723160046,0.83183074
5.32,200.46081518268062,0.8500469
5.34,204.7523069960944,0.64290583
5.36,208.84587137604993,0.2166836
5.38,230.60600844827565,0.40005192
5.4,239.96006868374513,0.4038526
5.42,216.63771745817814,0.49666366
5.44,201.95383345820235,0.7144351
5.46,199.37453263394642,0.62223387
5.48,220.60172779954726,0.3984824
5.5,253.96331249833852,0.15669791
5.52,274.0650623005403,0.5832497
5.54,269.46979039430664,0.67327756
5.56,263.2298757906781,0.5457014
5.58,262.1735358551628,0.34959492
5.6,250.050930654119,0.7576687
5.62,232.00610171653705,0.48331752
5.64,220.2109511925443,0.34877798
5.66,225.92006517397053,0.8207707
5.68,221.69207980827457,0.3564226
5.7,199.71954183064804,0.69512403
5.72,191.92027145657335,0.7900289
5.74,188.37096423860558,0.82991606
5.76,193.41769596860695,0.7457514
5.78,197.95579541605514,0.8651417
5.8,198.72264325474328,0.8843929
5.82,197.2154565059534,0.832565
5.84,189.84902961557935,0.3028587
5.86,186.6402014685917,0.52392006
5.88,191.70893906546922,0.79384804
5.9,198.5344260059911,0.825288
5.92,204.13976519104045,0.79522574
5.94,203.1735992460645,0.71138024
5.96,196.3271963216097,0.85685855
5.98,191.5762570156215,0.6869755
6.0,184.9958415363737,0.38263395
6.02,175.62570513943783,0.21651463
6.04,167.71645985528355,0.66081345
6.06,160.81245529344076,0.3953979
6.08,170.7875092747216,0.559617
6.1,180.6037139945965,0.65258634
6.12,185.8137878113023,0.85259163
6.14,189.7814658501759,0.73213685
6.16,190.731281197802,0.64557344
6.18,188.9319969718751,0.58078057
6.2,191.16037735746028,0.61525047
6.22,192.12492830582954,0.77855337
6.24,191.06681884104898,0.70513153
6.26,191.1120646329891,0.6430451
6.28,191.6050834775369,0.2955673
6.3,190.99220505946874,0.3889724
6.32,190.55047421156755,0.67785084
6.34,190.40500019398598,0.60306126
6.36,189.98684604696348,0.8044742
6.38,189.51584986207678,0.872015
6.4,191.56493776214663,0.8188693
6.42,193.2376584714179,0.7155147
6.44,194.558616460289,0.51853704
6.46,192.32295610912848,0.6735381
6.48,189.2904095575938,0.7504878
6.5,186.58645874502238,0.79854095
6.52,184.8271753625627,0.7997233
6.54,175.8465358525816,0.45199385
6.56,170.15567705354545,0.39962432
6.58,180.07700168928972,0.2488044
6.6,192.75335302273734,0.7501409
6.62,193.1925065820208,0.7536274
6.64,193.37258193817874,0.56942916
6.66,185.83418607563718,0.5218153
6.68,191.37812158528732,0.69900167
6.7,192.23320626164426,0.8738055
6.72,190.51836606392567,0.790483
6.74,189.64181820175614,0.7897297
6.76,188.32135873874168,0.842015
6.78,188.31711573212993,0.85023344
6.8,190.26814904318556,0.83148575
6.82,191.28517651416223,0.851325
6.84,190.2134917377779,0.84058595
6.86,192.13698929605442,0.85019547
6.88,190.91452751096526,0.8015289
6.9,186.05988536393295,0.56507766
6.92,179.12930943733943,0.3453248
6.94,166.57717592445138,0.28925297
6.96,168.14926922113915,0.22139359
6.98,191.50505434221432,0.5624876
7.0,177.6894024748427,0.57705367
7.02,178.7934562170596,0.72459495
7.04,183.08079735557777,0.8327396
7.06,182.31895391253875,0.8698301
7.08,182.78614385331917,0.82050836
7.1,187.45303288838107,0.8263817
7.12,190.3759632898001,0.8719765
7.14,189.4655439367748,0.84555376
7.16,187.720737246679,0.84357566
7.18,186.1469010377272,0.8405802
7.2,185.40196423925468,0.80185735
7.22,185.61022210958473,0.8111131
7.24,187.11275262590493,0.82437146
7.26,188.94325680696647,0.8280354
7.28,190.66681086846162,0.86897993
7.3,190.00691198823358,0.86274457
7.32,188.48304117272795,0.8598185
7.34,187.73844861177957,0.8160571
7.36,188.52541649895505,0.68111885
7.38,190.504853115093,0.5708903
7.4,189.54546244500534,0.80298114
7.42,190.45212413861233,0.8732808
7.44,191.06243476440847,0.84262216
7.46,192.13501936263123,0.87394434
