time,frequency,confidence
0.0,169.12295117858565,0.09768609
0.02,169.51709467603592,0.038636155
0.04,171.0091596067544,0.2870143
0.06,169.4135579728,0.1394111
0.08,175.0163689971286,0.10760989
0.1,179.1899877282627,0.09631362
0.12,183.13425763601674,0.07317236
0.14,185.54737008552763,0.13159296
0.16,185.77245971438785,0.22714576
0.18,185.09624509987802,0.26371908
0.2,180.7852109026447,0.37363592
0.22,181.4503503346154,0.21963441
0.24,173.29302392934466,0.27292922
0.26,185.02583408520343,0.14068072
0.28,183.19434176168716,0.053715136
0.3,180.38439827324106,0.13230297
0.32,180.26219570548747,0.1435417
0.34,180.8409165162362,0.12692957
0.36,204.44309717664268,0.17636035
0.38,221.8698743618401,0.3139092
0.4,220.30936741564548,0.20391022
0.42,222.43037607167085,0.113215476
0.44,222.65814259977378,0.25644124
0.46,223.7340851966488,0.15224348
0.48,223.5792020799816,0.13015458
0.5,223.9197084927995,0.13991518
0.52,221.1417186801685,0.12577592
0.54,223.29001330474523,0.39467734
0.56,220.60211509603857,0.470333
0.58,224.32040977122773,0.17818306
0.6,227.10238828947809,0.11559757
0.62,229.47549243158585,0.12728776
0.64,218.36543513717743,0.10095381
0.66,220.04535380012524,0.24416028
0.68,221.69707857089185,0.18502091
0.7,222.01213122208134,0.45226836
0.72,228.40191529565192,0.23360538
0.74,228.74034552825051,0.09365806
0.76,233.55374096214308,0.040247742
0.78,240.3878107067108,0.105812766
0.8,242.00554963713876,0.26247865
0.82,247.88551649456116,0.27261487
0.84,228.04939096092042,0.45833656
0.86,222.87333574043114,0.16324766
0.88,228.84725998736752,0.22659828
0.9,238.51000233334037,0.08644916
0.92,244.81325823369804,0.1952501
0.94,221.18696763072677,0.21617126
0.96,218.73531914174106,0.12706497
0.98,219.59661106291213,0.13847415
1.0,224.56281059585422,0.32623133
1.02,220.5856451865272,0.29850245
1.04,223.1387514016362,0.24361302
1.06,221.52494917427876,0.25206122
1.08,219.8310359855813,0.13467334
1.1,190.87673299919786,0.22288224
1.12,176.5177179179764,0.13869299
1.14,155.55182890510636,0.166907
1.16,137.89271526727833,0.36031872
1.18,119.30585691703752,0.22895007
1.2,109.2638203673509,0.50199676
1.22,108.10272381342165,0.64203393
1.24,107.08075112393325,0.81827676
1.26,105.75320960614192,0.70088935
1.28,106.74086059660196,0.53284025
1.3,112.90318745864981,0.44521457
1.32,112.02565134962032,0.44020477
1.34,113.85045152057975,0.79271656
1.36,113.67603253993485,0.83914673
1.38,113.57437737368468,0.78259706
1.4,115.62438604413117,0.72443604
1.42,118.20909155628664,0.80887526
1.44,119.1607955070101,0.8318964
1.46,119.7700064321319,0.86109054
1.48,122.01885500625366,0.8733896
1.5,124.42704738491375,0.8158951
1.52,127.58604520651804,0.72811484
1.54,130.87833671202705,0.8350889
1.56,132.89557457250876,0.8163643
1.58,135.32045496528548,0.8022746
1.6,138.64255931067487,0.8358788
1.62,142.2428665491448,0.6103027
1.64,145.69952543701203,0.5703373
1.66,149.20044167321186,0.72190964
1.68,151.57041253483638,0.6620469
1.7,154.1332241528745,0.59075636
1.72,159.9578094786882,0.54504097
1.74,164.0977538481876,0.6034981
1.76,169.40569702953584,0.73337245
1.78,175.11831040940777,0.76566595
1.8,178.7389519000416,0.84496653
1.82,180.73141903290306,0.843673
1.84,180.58359668321384,0.713429
1.86,174.18041699598012,0.25837305
1.88,155.58399087373647,0.3347459
1.9,158.87493319662582,0.31841254
1.92,158.75425451151168,0.7285085
1.94,158.231540999084,0.5353056
1.96,159.20768422387,0.51417375
1.98,158.62475383265456,0.25306585
2.0,159.51374806750863,0.520784
2.02,157.82034436856884,0.33702695
2.04,156.7121570183566,0.49935803
2.06,168.97458673060567,0.33359766
2.08,181.30663319972246,0.7951648
2.1,185.01536038863065,0.84441805
2.12,185.8450280408768,0.86770916
2.14,185.84725663142257,0.86983454
2.16,184.78388474622602,0.8412344
2.18,184.4596149826682,0.82725906
2.2,185.57897134604357,0.84099114
2.22,188.07131514585922,0.80683094
2.24,189.98020149060167,0.81975734
2.26,190.9353377182033,0.7817055
2.28,190.68658015734758,0.81235635
2.3,189.36186503616148,0.8218478
2.32,188.07601735487654,0.80482066
2.34,187.27993124307773,0.808473
2.36,187.25663541583378,0.80508786
2.38,186.83129605902616,0.80637944
2.4,186.39365509589496,0.8295528
2.42,187.02066951286565,0.8126255
2.44,187.38738130762104,0.82603496
2.46,186.1661300831369,0.85167533
2.48,185.19628961208556,0.8705505
2.5,184.59586882077306,0.86344963
2.52,184.59967108813686,0.87334716
2.54,185.1559755400609,0.8943286
2.56,185.03908223423653,0.8871287
2.58,185.23686055055458,0.89291
2.6,186.0195024326605,0.87823296
2.62,186.82848693947022,0.84585047
2.64,186.7231880852263,0.86244893
2.66,186.35639902460804,0.8855219
2.68,186.3551567594892,0.8854359
2.7,186.12706758577107,0.89166147
2.72,185.5968149603127,0.90343887
2.74,185.74699070413197,0.89484596
2.76,186.33942208449199,0.8667557
2.78,186.69600303032635,0.81363636
2.8,186.19856405568652,0.8169105
2.82,184.92564752842708,0.69193995
2.84,183.19179841074882,0.6086296
2.86,181.97053430125533,0.44828367
2.88,182.66611623102932,0.54179335
2.9,184.11056257193093,0.77421254
2.92,185.60382981167876,0.8955979
2.94,187.05295711332576,0.85852623
2.96,185.40468602603934,0.86893654
2.98,182.37346907968055,0.705675
3.0,181.46793172607153,0.6098844
3.02,184.9704744364158,0.85256165
3.04,184.74101919779005,0.8968368
3.06,184.91761030182434,0.88488567
3.08,185.37524335441816,0.88440883
3.1,184.07658430953464,0.85467696
3.12,180.46970857671508,0.7400371
3.14,181.38574371185342,0.42982787
3.16,161.86451650591553,0.4197825
3.18,167.6202537722055,0.6018541
3.2,178.6727434203004,0.66620564
3.22,183.96528134341324,0.7910706
3.24,186.57756974822973,0.83670413
3.26,186.85086252045983,0.83432746
3.28,186.0501240095256,0.8569987
3.3,184.65609257954605,0.89225674
3.32,183.73695548405297,0.89156085
3.34,183.63299892446835,0.8837946
3.36,183.7956914708855,0.8857934
3.38,183.57760327021353,0.884055
3.4,183.08596304013176,0.8606728
3.42,181.88870288265025,0.7975725
3.44,179.25697713293644,0.6857164
3.46,174.5457842904352,0.68368155
3.48,169.4256959104174,0.8281386
3.5,165.593802771598,0.8660218
3.52,162.58353446125764,0.83738875
3.54,160.25379338176316,0.88390017
3.56,159.57906362976644,0.8762954
3.58,158.98513842647938,0.85581297
3.6,158.88731851942646,0.83928496
3.62,159.5589522953689,0.83852345
3.64,161.99225884347257,0.8487548
3.66,164.70691287711003,0.8497705
3.68,168.44187839377557,0.8364868
3.7,173.12460016240107,0.79926294
3.72,176.9446495469599,0.8516892
3.74,178.19619413149593,0.8518735
3.76,178.52945651124273,0.8492095
3.78,178.3324712667994,0.8286402
3.8,178.3588833279762,0.7830564
3.82,178.22963325258064,0.79795545
3.84,177.22853127152206,0.79989266
3.86,177.0649096134971,0.75189304
3.88,177.2378073901486,0.74889815
3.9,177.86297692816947,0.6886138
3.92,177.47795372059912,0.5904261
3.94,178.054654002546,0.5200805
3.96,178.73522599537492,0.6362389
3.98,178.40802146443636,0.6316148
4.0,178.5673760700796,0.5833875
4.02,177.50981591328267,0.62505174
4.04,176.93650357777096,0.5721245
4.06,177.20586144850245,0.66550887
4.08,178.08589260624333,0.54659665
4.1,179.49013652317933,0.7792292
4.12,180.9125836538107,0.73164886
4.14,180.64230832254228,0.6973343
4.16,179.42485241426647,0.6938342
4.18,179.73393582761798,0.65934604
4.2,179.0605036666812,0.60503674
4.22,178.87710345864022,0.6076707
4.24,178.52551296693153,0.5250292
4.26,178.37805254413013,0.50278366
4.28,179.44453259473454,0.62347794
4.3,180.14857316016898,0.7379662
4.32,180.2620412123964,0.74264956
4.34,180.14734733749629,0.7454909
4.36,178.57976918317593,0.6481223
4.38,177.80624238186954,0.6710062
4.4,177.33941457568278,0.81627524
4.42,177.5317282948492,0.8543217
4.44,177.2763806464606,0.87414217
4.46,176.88538666655927,0.8842122
4.48,176.72662849750506,0.7953688
4.5,177.5890227783632,0.5999538
4.52,177.32931093252492,0.8093288
4.54,175.25803617767832,0.7976719
4.56,173.32355682654568,0.78140897
4.58,173.91519498769344,0.7689366
4.6,175.2553435853709,0.7416793
4.62,178.41366087530236,0.8573831
4.64,179.82745802018604,0.87610704
4.66,179.2416425566138,0.86805505
4.68,178.83204288650532,0.8657231
4.7,178.43278673375298,0.8587729
4.72,178.24729633099577,0.84400165
4.74,177.55588115440685,0.87908405
4.76,177.65256808774896,0.8810801
4.78,177.5610915223515,0.8810889
4.8,178.15123541034808,0.85820293
4.82,180.15756538592132,0.83652353
4.84,187.13779835611132,0.7299421
4.86,194.51699793989718,0.31596476
4.88,217.89378241712745,0.42313853
4.9,213.56219777161598,0.39413136
4.92,200.03510586761362,0.5250505
4.94,183.14582491956406,0.28333104
4.96,175.307209046884,0.74644136
4.98,175.3848696316172,0.78338414
5.0,174.75571317230018,0.82340044
5.02,177.2681494399847,0.8211486
5.04,179.48010271477506,0.87174875
5.06,179.00890163005022,0.87584656
5.08,177.54735658248973,0.84631187
5.1,174.5054938429368,0.7609201
5.12,164.72931365460778,0.64795494
