time,frequency,confidence
0.0,146.7793843003027,0.07320496
0.02,146.318577801557,0.0815208
0.04,146.4784715193321,0.23215456
0.06,146.661344769065,0.2646574
0.08,147.9678547325005,0.15714464
0.1,151.97512880130787,0.19956478
0.12,154.82010562675634,0.19590996
0.14,154.47714495535845,0.32304057
0.16,160.780413549421,0.13161811
0.18,175.20091136035938,0.1651973
0.2,190.18620097721868,0.37963575
0.22,193.73649415791573,0.4269293
0.24,199.31009405148328,0.6767776
0.26,203.5436665935674,0.81418806
0.28,206.3064074279199,0.80641544
0.3,211.4744535225145,0.84533966
0.32,215.4746415292661,0.9133184
0.34,216.843487868919,0.8704309
0.36,216.39842347407696,0.8565423
0.38,212.90496793963712,0.8603699
0.4,212.6445990958747,0.85095227
0.42,209.58058490398122,0.77085847
0.44,205.5596226919182,0.8403819
0.46,202.63870353414512,0.791788
0.48,200.22447348225936,0.7902645
0.5,198.44056613311383,0.83673596
0.52,195.198236455515,0.7742721
0.54,188.64551764947578,0.69720197
0.56,188.09978722831957,0.7676299
0.58,188.18012165283346,0.7896325
0.6,188.73807793235068,0.7797804
0.62,190.68373155674462,0.7101963
0.64,188.46973695707396,0.5301407
0.66,185.1448697074464,0.53936183
0.68,184.46917789908184,0.45580038
0.7,185.74849633559205,0.45672694
0.72,181.90616900457496,0.7540078
0.74,177.0537249429409,0.6157751
0.76,174.20003743847232,0.669328
0.78,176.909466179945,0.70847344
0.8,190.016691891961,0.694372
0.82,215.63413423377574,0.33473587
0.84,218.84884871161267,0.72913694
0.86,221.92706225654914,0.8881068
0.88,221.456844233263,0.9091827
0.9,219.87898447919156,0.9199274
0.92,219.70103963059506,0.9192491
0.94,221.75002451994075,0.87309337
0.96,226.87626551239262,0.88676083
0.98,226.71274171059986,0.89017904
1.0,221.496962386691,0.83709383
1.02,210.9271198466413,0.70436424
1.04,188.77005839523406,0.3734729
1.06,175.9685250955765,0.3695958
1.08,169.92280450916576,0.3489303
1.1,184.5851217023123,0.4481283
1.12,208.24131206848404,0.224052
1.14,221.47484356099773,0.4627735
1.16,228.53772472043232,0.61655885
1.18,225.50411092764537,0.65450287
1.2,225.94790233881645,0.47740608
1.22,235.63404485845436,0.7870437
1.24,236.48970132421465,0.86415213
1.26,239.4761345892098,0.74303997
1.28,240.11947427762794,0.58200884
1.3,235.54369693196622,0.71577775
1.32,250.3859019211465,0.56355524
1.34,252.23975697243895,0.6356788
1.36,267.68434157962525,0.47961584
1.38,271.8723798691212,0.79386944
1.4,272.202261407948,0.8088985
1.42,268.7441958177381,0.78495103
1.44,254.4091678378345,0.48147807
1.46,247.8392262374943,0.67673254
1.48,245.8268533498162,0.5026399
1.5,258.64715920970696,0.45381433
1.52,277.29648248176125,0.8257138
1.54,285.7451332265941,0.7063862
1.56,293.14863347939195,0.36754546
1.58,278.1884288629062,0.41163266
1.6,252.9332677578787,0.14253841
1.62,244.4858980859195,0.46241876
1.64,220.9561299661466,0.2815862
1.66,239.86101909376765,0.4757251
1.68,234.47141986887377,0.34577686
1.7,239.63640816416023,0.3812661
1.72,241.5494205152295,0.73254406
1.74,246.58717117476826,0.7789216
1.76,249.72678753013122,0.8286794
1.78,249.13363086564576,0.813177
1.8,247.96664903703547,0.86565983
1.82,248.4491494868486,0.867258
1.84,247.51019008570825,0.8431221
1.86,242.6657810376102,0.76519376
1.88,234.355243213785,0.6687832
1.9,220.02118445018553,0.79099417
1.92,217.52006424982827,0.7301992
1.94,215.19652186412443,0.7737591
1.96,215.5926312209728,0.69531274
1.98,217.21086446161087,0.7739968
2.0,217.61726470984928,0.64363736
2.02,238.25165196142098,0.4795872
2.04,239.03366748473573,0.8150811
2.06,235.17631708372807,0.6372431
2.08,226.46541869723063,0.67863625
2.1,221.8201664893327,0.6990756
2.12,218.93822438878257,0.7930757
2.14,215.4743116534215,0.7433717
2.16,217.05380356317005,0.6592265
2.18,218.40171746230305,0.85341513
2.2,219.0368283551287,0.834815
2.22,219.87640199457132,0.70446944
2.24,224.00096831182418,0.7347998
2.26,228.27587347460678,0.72628117
2.28,225.67387721258567,0.62704945
2.3,219.01156170891736,0.75281984
2.32,212.8969053254084,0.7391615
2.34,213.23870713713634,0.7193661
2.36,218.62154648480214,0.6122683
2.38,220.9841851976435,0.7363374
2.4,224.9108325023028,0.63791686
2.42,225.0463071066469,0.85291743
2.44,219.37313097663815,0.853034
2.46,213.5921876944596,0.8371407
2.48,204.54746176621998,0.806605
2.5,209.46207446096963,0.85690594
2.52,214.64697862047063,0.8666207
2.54,218.98778783389412,0.8495403
2.56,218.5577211639506,0.8692662
2.58,215.7834359074553,0.90804684
2.6,214.19203590676335,0.92487824
2.62,213.82334445855497,0.9261957
2.64,213.06470094452098,0.9105468
2.66,210.6598520708192,0.877753
2.68,209.83171667279296,0.81330746
2.7,208.33349195119493,0.7921515
2.72,203.56123410322488,0.63663465
2.74,193.97048839823105,0.7248401
2.76,188.0643111062957,0.76716346
2.78,182.83201476287343,0.7287636
2.8,181.04757546235282,0.6731163
2.82,178.7053574092454,0.69024956
2.84,185.70982472288426,0.78855795
2.86,187.45341554550674,0.8156123
2.88,186.6158869843737,0.7861705
2.9,189.35877014739563,0.79053676
2.92,189.5227273078042,0.8486655
2.94,186.49217810929113,0.78254473
2.96,185.8039817453998,0.8448198
2.98,183.98657901477208,0.8333386
3.0,181.3035628191128,0.7751383
3.02,182.76512539528449,0.7512255
3.04,189.34288927060575,0.7669264
3.06,188.17985967778765,0.77763695
3.08,186.43085766923843,0.77766204
3.1,186.96985035023974,0.7877971
3.12,187.70415833901237,0.76823854
3.14,187.10717511580225,0.7363639
3.16,185.66679821321455,0.8009542
3.18,185.055178667382,0.8206255
3.2,183.9427826268583,0.8019629
3.22,185.5649570764784,0.82957995
3.24,186.17991744667353,0.81461614
3.26,188.1738881282747,0.80345166
3.28,189.40867477648422,0.8099067
3.3,189.88175669378683,0.84563947
3.32,188.44255340249043,0.7870784
3.34,185.26156479948884,0.8002362
3.36,180.7459049245742,0.7650981
3.38,182.46285234336915,0.78638667
3.4,187.43728167667098,0.693532
3.42,188.2709092639497,0.72529066
3.44,182.91355831284255,0.8033475
3.46,180.09299892673923,0.87296546
3.48,179.75468518394047,0.8391912
3.5,183.82113067274443,0.7525667
3.52,188.92056717245083,0.6402061
3.54,184.14926429723917,0.38541225
3.56,166.03485583247345,0.34083405
3.58,182.77244967829947,0.27679768
3.6,185.84701278509806,0.25487337
3.62,184.78806597577844,0.1737361
3.64,189.70775321268485,0.43587568
3.66,187.51141254527954,0.18101315
3.68,189.48627958065998,0.6611166
3.7,187.266565632831,0.6577624
3.72,182.16989893817424,0.6204419
3.74,178.46132422562636,0.69584465
3.76,177.32962380181053,0.35847002
3.78,179.2086095455808,0.5337411
3.8,185.17259830785773,0.30983868
3.82,187.39483798164346,0.6749152
3.84,188.61633075554892,0.7396842
3.86,187.38808111107676,0.6241102
3.88,184.19795256195286,0.6665236
3.9,181.67064517697312,0.71713495
3.92,181.94572925534533,0.6782762
3.94,186.26208431691563,0.6202511
3.96,188.18632123162388,0.64427984
3.98,189.3680207152854,0.77573943
4.0,190.74367033107066,0.8044195
4.02,190.32521296257087,0.7604035
4.04,187.64570453882132,0.7039895
4.06,186.95211217078094,0.71318424
4.08,189.46262611442648,0.7930117
4.1,192.14130403530376,0.84925276
4.12,193.12256130068738,0.80557317
4.14,187.0523488078747,0.6689256
4.16,188.56094505388725,0.20295644
4.18,191.5458536799579,0.249464
4.2,190.43573494433588,0.20556243
4.22,192.03714411516216,0.12575503
4.24,194.18102059120312,0.12741365
