time,frequency,confidence
0.0,326.1779601601592,0.09792706
0.02,325.63336121981814,0.034414373
0.04,325.24157945219406,0.39490333
0.06,326.09131282067176,0.2836613
0.08,329.3775957266789,0.24387568
0.1,332.00134667915734,0.13924979
0.12,327.1299255166623,0.54637754
0.14,330.80246423767016,0.53236544
0.16,325.00248984082367,0.41119957
0.18,322.1549089396907,0.28117818
0.2,320.8431712036794,0.7391155
0.22,324.2495821557344,0.19389196
0.24,326.4309479684197,0.5479005
0.26,330.2160061561335,0.8186073
0.28,328.1140672731765,0.8767503
0.3,324.42536420370567,0.3085996
0.32,320.86634611502836,0.4520181
0.34,324.78558794718435,0.8023565
0.36,323.6768389747168,0.86047286
0.38,322.797017573834,0.8835016
0.4,322.9482468617358,0.8765369
0.42,322.8990324916599,0.8739935
0.44,324.63453614258674,0.8306313
0.46,324.32095125587097,0.81834126
0.48,322.7589847390258,0.83918583
0.5,321.7573938214839,0.8406297
0.52,322.40598569383934,0.8533542
0.54,323.547339656401,0.8401916
0.56,302.32385057140635,0.82730234
0.58,262.412265531833,0.8501487
0.6,227.36960192517526,0.7480963
0.62,212.6572961895926,0.6054096
0.64,179.26934068208428,0.4013594
0.66,165.4673622834898,0.49834618
0.68,163.62350526960284,0.42070377
0.7,162.4036296962383,0.75043046
0.72,161.41383432044023,0.7185552
0.74,160.25187470069284,0.5813888
0.76,160.9456601720571,0.5268554
0.78,159.67804617537445,0.32779086
0.8,161.41407164968592,0.4491868
0.82,160.47880995654225,0.48565638
0.84,160.22221383474863,0.7011032
0.86,160.11890801770946,0.45040634
0.88,156.951185877647,0.4913668
0.9,154.6969968612566,0.7877575
0.92,157.699759200709,0.43068877
0.94,157.8599497467498,0.54336154
0.96,157.54496865004307,0.6368016
0.98,157.68616210118387,0.61041665
1.0,158.23448204195319,0.6713093
1.02,158.55188162462997,0.66476953
1.04,158.38772665676777,0.57689
1.06,161.24523513448426,0.409082
1.08,161.77858200065134,0.73927426
1.1,163.49762517865065,0.8021313
1.12,165.8224412477499,0.76660985
1.14,168.80696576734584,0.5779071
1.16,169.4025846602294,0.45690006
1.18,166.63382405801244,0.55330527
1.2,171.97434474788895,0.40746984
1.22,175.28813604689756,0.55754274
1.24,175.22183058532335,0.52257323
1.26,170.6522456474181,0.3947371
1.28,166.90330390944132,0.46019578
1.3,170.46988885073335,0.32388166
1.32,174.25334378254857,0.65434575
1.34,175.5084536837708,0.76669294
1.36,177.68256159566803,0.65475
1.38,183.91233987673968,0.48374206
1.4,188.2275918366089,0.72600055
1.42,193.6052518066091,0.31226197
1.44,207.17747860721065,0.39245164
1.46,216.6282899959039,0.7300818
1.48,216.58297004968824,0.8422947
1.5,209.1247926426507,0.7422075
1.52,201.0399756094465,0.5818386
1.54,192.77287519555472,0.46515504
1.56,183.27518025244734,0.7487726
1.58,179.5502703613904,0.7586025
1.6,176.41458513407738,0.7273263
1.62,174.54110812260564,0.6181833
1.64,173.43310693587608,0.61370885
1.66,173.93652735758738,0.62838906
1.68,175.8480242991442,0.7319695
1.7,177.85975114546093,0.7927072
1.72,180.05301066935488,0.73832035
1.74,183.27831039620096,0.6816334
1.76,187.89718645241777,0.64636755
1.78,192.5085879790168,0.29573873
1.8,206.64584574022558,0.503462
1.82,213.6768602796732,0.65271467
1.84,210.79675319630627,0.6843318
1.86,200.642475277188,0.27487937
1.88,193.62619817012592,0.6090424
1.9,186.0793282604505,0.6523747
1.92,179.24273690435143,0.6214576
1.94,175.37416991111684,0.7690922
1.96,174.872323345988,0.62537646
