time,frequency,confidence
0.0,120.80987821498397,0.218495
0.02,119.06603124620145,0.25230226
0.04,118.1689218631381,0.5404538
0.06,119.31290138503961,0.15740284
0.08,120.01582425833203,0.20943344
0.1,123.18282325454504,0.20313326
0.12,120.41304544338004,0.07080314
0.14,118.43612311492706,0.13933675
0.16,119.7312318048918,0.3870031
0.18,121.15599511272656,0.25141898
0.2,134.88611233576938,0.2149942
0.22,156.2655153895346,0.28071344
0.24,170.3932034449809,0.35569933
0.26,176.0054292731208,0.632399
0.28,177.06639701057614,0.8005219
0.3,177.44309609070098,0.72468776
0.32,180.90230120658444,0.74384916
0.34,184.73674777732168,0.70431054
0.36,188.35368987778816,0.782694
0.38,189.81923309854096,0.78619003
0.4,191.56480696099925,0.7755796
0.42,193.90915877553203,0.800868
0.44,196.75814559232543,0.84259605
0.46,200.25851881189243,0.7729836
0.48,203.96869220858508,0.65912485
0.5,208.48935722004657,0.72467005
0.52,215.73990279765133,0.66650844
0.54,221.88461384193434,0.66305363
0.56,223.43333372008567,0.6041683
0.58,224.22934229734273,0.5185423
0.6,221.33077079035746,0.092688054
0.62,223.18855145870745,0.4925324
0.64,220.96670974371662,0.38082173
0.66,214.0850866942972,0.6374138
0.68,209.20012256260395,0.3645472
0.7,211.3602680153352,0.52797306
0.72,206.34388885711445,0.66656107
0.74,197.40993489993696,0.7725504
0.76,191.80130062211333,0.73547554
0.78,193.12741380220004,0.57619333
0.8,208.50834563360996,0.67480385
0.82,213.51904478471016,0.58749616
0.84,216.00649118139827,0.31686765
0.86,202.66798266847644,0.41209596
0.88,216.41378795113792,0.58115613
0.9,237.07871295940367,0.60331017
0.92,237.39004724669456,0.63703054
0.94,237.13495247958184,0.64950025
0.96,238.9051665904592,0.6846684
0.98,237.69767325805017,0.7640914
1.0,235.9619021605873,0.565973
1.02,238.21826426026473,0.29048073
1.04,237.1687057158751,0.6963383
1.06,233.65849149159558,0.75890857
1.08,224.48505427828206,0.24590957
1.1,236.47682791680867,0.2885723
1.12,237.14903922335282,0.29490402
1.14,236.39444327017566,0.37049395
1.16,239.68182427433908,0.35999405
1.18,237.67613553604394,0.5473274
1.2,233.79847410809828,0.4376842
1.22,236.36223815897299,0.35233456
1.24,236.27001272006763,0.5407382
1.26,236.48702616783854,0.69826365
1.28,233.31684069048492,0.5607406
1.3,236.62574767631614,0.58671665
1.32,238.7222156305457,0.49510232
1.34,238.56445903343612,0.23560403
1.36,236.75269374226286,0.13117824
1.38,235.38220069406503,0.32645163
1.4,237.37255257119685,0.20104335
1.42,237.40177516224423,0.12036476
1.44,239.0632125029242,0.19620903
1.46,237.27889005859225,0.17603081
1.48,236.9967765824541,0.7075758
1.5,238.79280229461702,0.67121774
1.52,238.8884599906329,0.67531174
1.54,238.7488600528604,0.71312535
1.56,235.32823477088516,0.6689632
1.58,235.9755670012183,0.37679166
1.6,233.3786972429076,0.3260881
1.62,236.31608469814327,0.18774523
1.64,237.73325603151136,0.43297133
1.66,236.69733651493812,0.18781906
1.68,239.2055860857035,0.18618236
1.7,241.49066819762305,0.3557368
1.72,236.53651434895917,0.3991916
1.74,240.14799929625474,0.57861644
1.76,239.4277487458933,0.66166246
1.78,238.96241784956217,0.6288649
1.8,236.6321582498038,0.8072665
1.82,236.79779558106756,0.8372677
1.84,238.62680232762105,0.77865857
1.86,239.32356209524625,0.75180805
1.88,238.826063542545,0.6550392
1.9,237.7114000065456,0.44123054
1.92,237.16402486217845,0.65122247
1.94,238.09686028243823,0.6512239
1.96,234.3432956261011,0.7496805
1.98,233.92643731306242,0.75539434
2.0,237.45046796564807,0.34344944
2.02,242.17203898823485,0.19823049
2.04,235.48219061852103,0.22110474
2.06,228.7463799331926,0.16556095
2.08,220.5664141332056,0.1906362
2.1,212.37493173227168,0.3710728
2.12,198.92813336020617,0.08819043
2.14,221.94245046598104,0.457048
2.16,223.9034407835089,0.72204125
2.18,216.3160281876846,0.6091341
2.2,209.496534924577,0.755577
2.22,205.82030021328816,0.8089896
2.24,199.20323739303058,0.72779113
2.26,194.02105839110175,0.76854134
2.28,189.5912838066618,0.7204701
