time,frequency,confidence
0.0,444.1806457929079,0.09931294
0.02,441.1586113589882,0.04565558
0.04,443.7863302123601,0.2521965
0.06,443.16949745793227,0.24181503
0.08,452.83768426527456,0.25181317
0.1,475.36075336166164,0.15972371
0.12,493.8499988706181,0.07199804
0.14,501.70583256516494,0.116734676
0.16,509.3143971060636,0.1328062
0.18,558.1823501633917,0.13689187
0.2,628.3108105300413,0.19413467
0.22,657.786611801895,0.1478772
0.24,662.9547745012433,0.07472978
0.26,678.3509791464755,0.2287241
0.28,704.2584352739606,0.15466014
0.3,781.1785387610828,0.06448489
0.32,796.5036681393308,0.2940831
0.34,796.285281095116,0.49246255
0.36,795.0343012178645,0.47523588
0.38,788.5272515307861,0.60761213
0.4,777.9083500126137,0.42008448
0.42,743.7091455352067,0.12505479
0.44,710.6913811028401,0.10851302
0.46,703.8342294713902,0.08784258
0.48,699.3842358148457,0.47514394
0.5,685.8638754372621,0.30621892
0.52,637.0819614495695,0.11968726
0.54,622.4006835106163,0.10092858
0.56,617.7926176549981,0.12322469
0.58,603.4544046045079,0.1619141
0.6,605.9322241422539,0.5231892
0.62,614.7759593445662,0.7443731
0.64,616.6278329869832,0.7360043
0.66,616.7552083877882,0.8258698
0.68,618.2124390604449,0.75498253
0.7,610.2844712888074,0.09102734
0.72,621.9688609527476,0.1353218
0.74,628.1448214511026,0.099204704
0.76,630.8767068854755,0.10604053
0.78,645.087934248457,0.28265986
0.8,632.4324300078824,0.7497688
0.82,622.7624453917058,0.30784935
0.84,606.8085264107738,0.11634985
0.86,617.0317614678627,0.16528174
0.88,618.7344597757622,0.5425494
0.9,536.4907562179887,0.08656635
0.92,501.5576926323704,0.4765999
0.94,432.5284861698055,0.65040505
0.96,391.481072473668,0.5130397
0.98,344.5495290064308,0.38010135
1.0,345.231016888447,0.6837519
1.02,355.2139333756449,0.59221596
1.04,367.88324189296253,0.53483796
1.06,356.8780406507198,0.4738138
1.08,320.9626323573315,0.7665473
1.1,295.1830838546126,0.5340553
1.12,274.10998226490625,0.18264996
1.14,262.82711001019857,0.5131904
1.16,240.41626716973002,0.45395592
1.18,219.97371519001854,0.73168755
1.2,198.51218262592613,0.13599284
1.22,188.81238364229714,0.38044107
1.24,183.04849424838199,0.4585038
1.26,179.0136864507234,0.25665268
1.28,178.56206081086154,0.30215222
1.3,179.70987033247053,0.41472003
1.32,180.64130208785906,0.5331516
1.34,181.10935551562198,0.53714985
1.36,181.1259336389752,0.39256746
1.38,178.90605585120014,0.35312423
1.4,178.2746722597344,0.42262986
1.42,181.25513258544908,0.1402565
1.44,185.29825880073741,0.08163865
1.46,185.73524685626907,0.086446166
1.48,189.50229320167352,0.73306715
1.5,198.77048364224981,0.6618371
1.52,202.94340546242637,0.26539502
1.54,201.53592213177745,0.30537304
1.56,196.4858341307464,0.5748751
1.58,197.39867622995712,0.5933635
1.6,199.33847759179767,0.28898188
1.62,199.63379349359073,0.29470435
1.64,200.8584093086685,0.29083684
1.66,202.11844743938497,0.4513987
1.68,203.57165162273236,0.6228821
1.7,205.14549745122892,0.5737313
1.72,205.2379530548405,0.7095363
1.74,205.59068241243995,0.7637735
1.76,205.45708831577033,0.8077303
1.78,205.10861866630597,0.8172665
1.8,203.82346964040443,0.8206906
1.82,202.88459493310623,0.81068873
1.84,203.81853826984792,0.8044237
1.86,203.99719858621364,0.7967088
1.88,204.86361408152388,0.8041749
1.9,204.6868832984141,0.7543493
1.92,203.88241277312153,0.71792704
1.94,203.47415942175647,0.53906906
1.96,204.35922600535858,0.6377
1.98,206.09162026255146,0.70611006
2.0,205.3012004641422,0.56529564
2.02,202.90865091065382,0.7147429
2.04,201.86401925071152,0.7272811
2.06,201.51715063431337,0.71274865
2.08,201.50608105260832,0.71543944
2.1,202.89675246681486,0.5875789
2.12,203.01582510308265,0.6475065
2.14,199.2969744811268,0.45578814
2.16,198.86119678767272,0.5224065
2.18,201.21488404100973,0.58440816
2.2,208.67010460304158,0.72968537
2.22,210.1689504399008,0.7627536
2.24,209.1351836130409,0.66683376
2.26,206.23442132480605,0.66124785
2.28,204.63195285072996,0.718253
2.3,202.92516815715575,0.6461621
2.32,204.6197412901502,0.5345508
2.34,206.00274288968637,0.41800997
2.36,206.10919851264381,0.60515594
2.38,203.98011520403895,0.5789592
2.4,202.5757172230912,0.6017894
2.42,201.99881080004428,0.45492336
2.44,203.44334986461388,0.6143016
2.46,205.3244024162892,0.69941485
2.48,207.80356083936846,0.6925743
2.5,210.00155937907638,0.66070557
2.52,213.1393081046286,0.60184777
2.54,215.34839457124298,0.5213735
2.56,208.56468683203917,0.19469085
2.58,210.689883377567,0.18843317
2.6,210.53876101285783,0.33341503
2.62,201.2356561746314,0.10879512
2.64,200.84545031566313,0.45870143
2.66,204.27503572337753,0.73301
2.68,204.1863484527391,0.768753
2.7,201.042946609789,0.8848199
2.72,188.46542439068756,0.8145971
2.74,189.5279230609293,0.23325616
