time,frequency,confidence
0.0,227.9059747110499,0.0966549
0.02,231.2613846518222,0.038031768
0.04,230.8087755619277,0.32655227
0.06,223.01299480630064,0.16908099
0.08,248.37475018497292,0.16947094
0.1,247.73062633226215,0.43941927
0.12,235.38296952739967,0.4846842
0.14,228.2529151124878,0.70607734
0.16,228.31985091944833,0.6144551
0.18,239.19212829938002,0.5892317
0.2,257.5248920263487,0.51515853
0.22,261.83046577922283,0.11268183
0.24,259.2014979659405,0.51923585
0.26,250.16273547315322,0.5202246
0.28,241.44770622866082,0.81695133
0.3,236.01051755357688,0.6559217
0.32,236.3945540569284,0.23852158
0.34,246.50589168351982,0.64960414
0.36,248.19699045759467,0.8756508
0.38,246.96418113116982,0.8740312
0.4,243.43772277963066,0.8099271
0.42,241.69054868150243,0.8386836
0.44,243.78569965413746,0.8362681
0.46,246.46761179585678,0.83773553
0.48,246.2290708924557,0.8138228
0.5,243.59243694334825,0.799795
0.52,242.16110386771248,0.8474049
0.54,242.63745015750348,0.84930336
0.56,243.05199960854372,0.8317057
0.58,243.2021059410016,0.8124298
0.6,242.91421825205148,0.8150218
0.62,242.0895451356621,0.86005604
0.64,241.92661329734244,0.85227174
0.66,243.14079649563124,0.82647586
0.68,242.8004056738942,0.8564682
0.7,241.81791041489973,0.8409108
0.72,241.99445160276446,0.84300077
0.74,242.06083876098074,0.8417276
0.76,241.10035192766952,0.83218265
0.78,241.00569775785544,0.8355517
0.8,241.3178084534151,0.84964514
0.82,242.02819128833352,0.83964163
0.84,243.84900381151763,0.8167103
0.86,243.4431809093261,0.82778555
0.88,242.18806589085406,0.8562327
0.9,241.9355608972555,0.8628166
0.92,242.00928549548308,0.8419316
0.94,241.24578407805006,0.85816574
0.96,240.65694490632302,0.8402937
0.98,241.79131055674782,0.82617736
1.0,243.5722991875269,0.8390359
1.02,245.07746449509636,0.8390646
1.04,246.44413088203584,0.78586394
1.06,244.66616975439277,0.8087811
1.08,242.9176767763785,0.8234747
1.1,242.6643859835531,0.8430158
1.12,243.76445187111221,0.8417667
1.14,243.84319522455212,0.85905176
1.16,243.6194724713351,0.8572364
1.18,244.76511452328873,0.88059366
1.2,246.03769281759173,0.83920556
1.22,247.10296682624616,0.84916735
1.24,246.98854746802564,0.8562932
1.26,246.35790153081155,0.85398775
1.28,245.934982857957,0.8378031
1.3,245.95528167062872,0.8302802
1.32,245.32878784549445,0.8220561
1.34,244.07089135966197,0.8409582
1.36,243.07565064477467,0.83989555
1.38,242.41934000701391,0.84388727
1.4,242.3705190646405,0.8586938
1.42,242.8465771482592,0.8488579
1.44,243.78327114632987,0.8392733
1.46,245.06838146497023,0.8411173
1.48,245.45497133985856,0.8493902
1.5,243.83736094187282,0.8430853
1.52,241.37832909837164,0.83654076
1.54,241.21113458155304,0.85412407
1.56,240.65408826169144,0.8138211
1.58,236.808196081747,0.7662534
1.6,238.5054606588542,0.45820978
1.62,242.43039082051612,0.6018541
1.64,241.23897110320803,0.7803601
1.66,239.53014805711916,0.8184815
1.68,238.84605501878727,0.8606715
1.7,239.81646825191984,0.85009843
1.72,242.40314268400041,0.8453174
1.74,243.50922654818157,0.79967415
1.76,260.37124066009545,0.40987572
1.78,261.48490503570474,0.8046515
1.8,255.64865035033833,0.63464224
1.82,242.25423243183792,0.7533163
1.84,238.39555313164394,0.8427502
1.86,250.39169719445994,0.58684194
1.88,271.4038100216674,0.5200815
1.9,286.4890550479706,0.755919
1.92,302.06544573958547,0.46016422
1.94,308.27420851248297,0.7935456
1.96,295.2616956176762,0.6777229
1.98,286.1301743382004,0.533407
2.0,259.04382500089935,0.6397761
2.02,247.6018442795962,0.8364598
2.04,256.01007517171877,0.757812
2.06,267.7469259168854,0.38764107
2.08,294.51620506785775,0.37004495
2.1,333.46345820747894,0.41290534
2.12,336.6925036791847,0.79153055
2.14,315.2074145989816,0.57496583
2.16,286.8221946856179,0.43077505
2.18,270.24932832692343,0.5759586
2.2,250.8403481415388,0.6336781
2.22,244.4324422637216,0.8302985
2.24,239.80581271333563,0.8479131
2.26,237.13148471874678,0.84291935
2.28,236.01311218089864,0.8638417
2.3,235.9893596908426,0.858876
2.32,238.95120710811466,0.83912396
2.34,243.95076682671842,0.8296023
2.36,245.82410309752916,0.8202027
2.38,245.9268575854168,0.8288183
2.4,243.95834890303095,0.806181
2.42,242.31953067422293,0.82804555
2.44,242.70692456745667,0.83406085
2.46,242.37090557059446,0.8650063
2.48,243.48348609446765,0.8408825
2.5,245.13624677936008,0.8512495
2.52,247.4935077725324,0.8701799
2.54,246.26629265408982,0.84444743
2.56,244.08560069827132,0.8569595
2.58,243.1406617656604,0.8354269
2.6,242.29745146525661,0.86301917
2.62,244.1005818998836,0.8742918
2.64,247.374153809635,0.86320764
2.66,254.96800118204786,0.8122739
2.68,258.23213889587885,0.80501205
2.7,255.97721544683768,0.8106577
2.72,251.08023685664324,0.816506
2.74,243.76893356011504,0.77424586
2.76,238.86759494248923,0.85121334
2.78,240.15770524988451,0.87502545
2.8,242.48486429661546,0.87687075
2.82,243.50345102671415,0.85407794
2.84,243.41826488936093,0.8478383
2.86,244.82339034884052,0.8725157
2.88,247.29942656792878,0.8574716
2.9,253.37281809698513,0.83781314
2.92,259.7763038539964,0.80190957
2.94,263.0822827473505,0.88518196
2.96,263.3883983036013,0.84888566
2.98,255.5372033562762,0.5739536
3.0,241.712315714757,0.7938195
3.02,238.64607545211618,0.8991356
3.04,237.2686890606247,0.862217
3.06,233.48255652563188,0.6502696
3.08,236.80307343136843,0.364756
3.1,237.54155526003183,0.55509293
3.12,245.3059765562718,0.81922984
3.14,242.79625701464943,0.7837828
3.16,237.17611928864298,0.8088372
3.18,236.3712128553941,0.6697862
3.2,239.10128786005083,0.39212614
3.22,269.416975283331,0.2047469
3.24,258.6181735936283,0.55241656
3.26,256.77082804448844,0.85189915
3.28,258.03453346590794,0.83169585
3.3,257.8202858012656,0.84623694
3.32,259.97229187103716,0.8505344
3.34,263.270789867599,0.8858925
3.36,262.82121267035916,0.8745195
3.38,256.44066150541835,0.79232824
3.4,248.65553008028417,0.7824335
3.42,244.90376660301075,0.82988787
3.44,243.01324651173496,0.79947674
3.46,243.09530492778362,0.81445754
3.48,244.321019310991,0.8621596
3.5,244.68979324157738,0.8703188
3.52,243.53484465488052,0.82771814
3.54,242.83455410649032,0.839677
3.56,240.94295751648787,0.8369101
3.58,241.35344751719967,0.8469013
3.6,243.37131408056482,0.8169025
3.62,245.49347605148697,0.8458924
3.64,245.9942034833742,0.8337285
3.66,246.04709433113158,0.82622117
3.68,245.4147459319526,0.82059497
3.7,244.87927574010905,0.8581277
3.72,244.70169135264794,0.8559841
3.74,245.70906839897756,0.8401681
3.76,247.57308048692633,0.8370292
3.78,249.12633638912104,0.8210478
3.8,250.1928857379664,0.82038504
3.82,247.596581062989,0.7958975
3.84,244.7247812661698,0.82242477
3.86,244.72238931416558,0.8550247
3.88,246.28296642814846,0.8241575
3.9,247.19449815503543,0.8437249
3.92,247.6861165402428,0.83797663
3.94,246.16496102226677,0.8015511
3.96,243.82786062793878,0.83223647
3.98,242.427439965163,0.8549557
4.0,240.72843951132234,0.8464148
4.02,238.24243584383626,0.86931974
4.04,242.49056744191492,0.81070566
4.06,252.43162724274282,0.46425018
4.08,251.26707982077332,0.55965024
4.1,240.95344352688872,0.75506675
4.12,230.3246535462664,0.42759576
4.14,228.8906943567258,0.45081723
4.16,223.51588117340646,0.67819947
4.18,220.2400586365451,0.83115625
4.2,236.0893991957195,0.42976516
4.22,258.97930572764585,0.5892502
4.24,285.99252162269477,0.68482167
4.26,290.11219742258936,0.90138906
4.28,282.33657697938133,0.64991796
4.3,251.72341139934392,0.31954122
4.32,238.47125286323475,0.8194424
4.34,237.0750990809566,0.8907504
4.36,245.5346606247173,0.8234829
4.38,255.2981808365139,0.83337927
4.4,257.83985466053036,0.8284735
4.42,253.18178659923004,0.6710489
4.44,240.54650272828002,0.4816311
4.46,215.78033636113045,0.5700116
4.48,203.14181261634502,0.84659296
4.5,208.73751814999693,0.80325603
4.52,215.04940816566437,0.87632436
4.54,217.72967207498078,0.8406681
4.56,209.2718728935791,0.45457923
4.58,183.28312547485598,0.4212369
4.6,189.06640986143927,0.21754012
4.62,202.6169014704868,0.46774748
4.64,221.01734869496087,0.30094445
4.66,241.37539236776382,0.33197778
4.68,261.46353009902623,0.20746428
4.7,250.84402983039416,0.51954126
4.72,247.18436396839024,0.8438423
4.74,242.44580354043103,0.8574278
4.76,241.9992479764341,0.8684162
4.78,241.09129611733573,0.8662158
4.8,246.5411996159849,0.82834584
4.82,250.5355508793458,0.8564988
4.84,247.81038563714034,0.8614984
4.86,246.6623824697052,0.85471594
4.88,242.44634509771205,0.7988709
4.9,239.51909303956023,0.9007573
4.92,241.79992208288877,0.8823776
4.94,243.6654398669614,0.86057156
4.96,244.82966925875155,0.8776817
4.98,245.34233372911942,0.8592069
5.0,242.30625045299644,0.84205675
5.02,241.41846255138222,0.860412
5.04,238.57762053134434,0.85269225
5.06,231.6359136203526,0.7343366
5.08,222.3637413078804,0.5075457
5.1,223.21183671478002,0.27594382
5.12,229.67934912152143,0.25533795
5.14,228.0743700574937,0.7310368
5.16,228.4555744154514,0.40574992
5.18,232.87248409454952,0.17782417
5.2,234.82676043144994,0.26732674
5.22,253.9116619131716,0.56136477
5.24,257.1144149882052,0.8541998
5.26,255.37793713961992,0.67177767
5.28,240.29445858873225,0.37415236
5.3,208.37288347456862,0.5733256
5.32,188.72811931811373,0.6715025
5.34,176.35463010558993,0.5187828
5.36,168.90331383021902,0.8381709
5.38,169.6573105400404,0.80071473
5.4,176.4497850693633,0.58097184
5.42,188.14352039027096,0.7126914
5.44,196.01154225265276,0.77476674
5.46,202.5069841457179,0.7363399
5.48,207.88250330416207,0.82632506
5.5,209.493182331607,0.7911068
5.52,210.08059467007814,0.7946073
5.54,211.0857105293117,0.79105175
5.56,213.07325403289565,0.7969884
5.58,217.64845768948823,0.8266845
5.6,219.4358503064061,0.9039139
5.62,217.51897674198145,0.86736035
5.64,215.7626346413268,0.8325043
5.66,213.2014548202659,0.8135406
5.68,210.66228478790515,0.7803184
5.7,211.82616484534392,0.7941887
5.72,216.6654867389472,0.79881734
5.74,223.6153773116678,0.78500384
5.76,231.35159537664742,0.8346416
5.78,236.73130678824737,0.8143498
5.8,239.69447012110393,0.82723033
5.82,237.95360673902866,0.82636267
5.84,237.40649464453296,0.8766882
5.86,236.57765333158164,0.8856182
5.88,235.4706407200908,0.8745756
5.9,237.42295572517088,0.8864807
5.92,239.12620923201086,0.8846082
5.94,240.86492576479316,0.832214
5.96,240.60921271531396,0.85754865
5.98,240.6588334372931,0.86205566
6.0,240.89508599263394,0.8309255
6.02,240.07275885174636,0.865506
6.04,241.29237657573952,0.8542409
6.06,242.11137037255568,0.8632043
6.08,241.16202556431404,0.8437679
6.1,241.16735691083434,0.8401468
6.12,239.99057945212235,0.86286026
6.14,238.31706166948013,0.857223
6.16,239.49542903346628,0.86283064
6.18,241.3200353599957,0.8512504
6.2,241.86220589782988,0.8474265
6.22,241.10463806598796,0.83567095
6.24,240.05724790957845,0.8575164
6.26,239.64522091576856,0.8581368
6.28,240.15313907214406,0.87699586
6.3,241.80630029794358,0.867164
6.32,243.66168504395998,0.84374094
6.34,244.29347210150934,0.85895014
6.36,244.8378814074961,0.85285044
6.38,243.76033796633908,0.8227441
6.4,238.98115246113065,0.8356013
6.42,238.95185604655603,0.88668317
6.44,241.37937279223505,0.8647962
6.46,244.83499512564865,0.8653597
6.48,247.27455648887482,0.8677311
6.5,246.97696009717677,0.83861876
6.52,243.91606267599553,0.82397985
6.54,241.16670054055817,0.8275642
6.56,236.68419589295314,0.88420206
6.58,237.35176658272957,0.8849145
6.6,242.06394075044693,0.8390814
6.62,245.3988636929443,0.85324323
6.64,247.94121010375196,0.8634847
6.66,247.81121771378497,0.84198844
6.68,242.6187711121281,0.7862879
6.7,239.26314057847915,0.8516842
6.72,238.25617454557968,0.8768398
6.74,244.33861553457345,0.8471738
6.76,251.35060173944345,0.8694627
6.78,253.7772501491305,0.8478374
6.8,250.47360329821996,0.5027843
6.82,227.30928595158727,0.3272679
6.84,250.7555280463059,0.18369348
6.86,254.22917672462503,0.7906412
6.88,254.57130698413715,0.8137119
6.9,256.340744711654,0.69364095
6.92,237.46409191294742,0.42534724
6.94,237.40055987181586,0.71586126
6.96,229.23313759584124,0.4186189
6.98,227.35870722485484,0.47714746
7.0,216.91155387784488,0.34063944
7.02,239.8425715486424,0.3078226
7.04,238.68881158211707,0.57529545
7.06,242.91461049430777,0.52487135
7.08,245.1079214278068,0.46360877
7.1,245.1111983412812,0.6518377
7.12,245.7265044772468,0.7406733
7.14,246.0031218806253,0.5841086
7.16,233.1994407734777,0.59435165
7.18,255.3300483044251,0.29381704
7.2,254.30806382575804,0.6863204
7.22,261.33096951371874,0.72374403
7.24,261.8909121879624,0.706416
7.26,247.48023711261885,0.55283433
7.28,237.300823078109,0.6989299
7.3,240.24232964715847,0.38922438
7.32,240.7273621560445,0.5884838
7.34,241.0572496774219,0.77206194
7.36,250.41247134917353,0.61898506
7.38,256.7183004068421,0.63385206
7.4,262.68721337534384,0.40634727
7.42,261.76942625180624,0.24465616
7.44,238.5967345341448,0.48135555
7.46,240.57424902860046,0.58628154
7.48,232.23268314372257,0.30129647
7.5,263.2170187243104,0.7295494
7.52,259.61468521062193,0.41955724
7.54,262.2562712544391,0.2618818
7.56,255.91401147826505,0.6251987
7.58,256.95171454832735,0.31020525
7.6,265.5933963109678,0.66602993
7.62,265.949426508339,0.56844854
7.64,257.32015415333586,0.5859361
7.66,251.66724272820625,0.7536219
7.68,250.74165878242752,0.45613006
7.7,264.31862520160956,0.3326719
7.72,265.9984453346401,0.5916744
7.74,256.22758195684594,0.275182
7.76,259.59399130765445,0.5822625
7.78,260.475673321905,0.5497115
7.8,233.08508663287432,0.48727113
7.82,230.8414598078761,0.8001791
7.84,226.3099745220233,0.39332408
7.86,211.69455856935568,0.4472512
7.88,202.42583841186075,0.1776282
7.9,201.26574118498397,0.5894002
7.92,214.32665651250457,0.6088614
7.94,232.7089511116945,0.40006608
7.96,239.32267529818319,0.80221254
7.98,241.55720554759006,0.89014834
8.0,240.99293308138513,0.8601856
8.02,239.39572417592365,0.8974661
8.04,241.06206289630975,0.86844194
8.06,247.15973980898593,0.8634218
8.08,257.0977845938048,0.78965396
8.1,272.5407810768555,0.76647377
8.12,282.61501874869197,0.9235629
8.14,283.4600462653508,0.90396905
8.16,277.08592804652545,0.8615341
8.18,268.88503095003887,0.8860761
8.2,263.6077976799988,0.8855784
8.22,262.3268156174548,0.9123709
8.24,262.76311144023896,0.90953773
8.26,262.4523179182319,0.913632
8.28,261.1913502326143,0.88477194
8.3,262.07456090986886,0.8981542
8.32,262.55223124212387,0.903864
8.34,262.65642882724234,0.9098875
8.36,266.40202347021767,0.871798
8.38,276.21388162339014,0.83889717
8.4,284.0503006366777,0.91329473
8.42,290.05227359434195,0.9034692
8.44,290.6458943629632,0.9068823
8.46,284.5184306409297,0.8919078
8.48,276.6267773045336,0.86709267
8.5,270.1252746270587,0.87243205
8.52,266.45787168039647,0.9060261
8.54,265.8058936579669,0.9002141
8.56,265.8448960099345,0.92130077
8.58,264.88436582094346,0.91247547
8.6,266.0525472309503,0.89401686
8.62,271.23904504387446,0.8601875
8.64,282.46460434332073,0.9016214
8.66,292.52754995373914,0.777011
8.68,304.41340082146206,0.80538934
8.7,297.8599758887386,0.76413417
8.72,286.07905499880906,0.62222767
8.74,262.98499245254044,0.35792106
8.76,235.42630271658595,0.20326805
8.78,235.78697770652616,0.11927309
8.8,243.21031349404194,0.1378227
8.82,239.87619896691496,0.4561142
8.84,237.02014353678007,0.33555564
8.86,240.46301560308592,0.5261239
8.88,238.24410502256868,0.38389757
8.9,266.090806737905,0.34505484
8.92,263.55642385734984,0.4570286
8.94,275.5925972249676,0.4088707
8.96,260.29461859677747,0.313309
8.98,263.34471395496445,0.52668643
9.0,260.33512298983976,0.41320783
9.02,280.6284946201057,0.56849957
9.04,284.2580711303427,0.8951585
9.06,287.68463396087077,0.89855516
9.08,283.9495242844,0.8334509
9.1,268.5922602429417,0.7184964
9.12,255.85957483022293,0.8124614
9.14,253.61782151252257,0.86025757
9.16,258.69992377544594,0.7802614
9.18,274.0688890781703,0.49327794
9.2,292.2127190499664,0.6130129
9.22,311.8407309999933,0.81735677
9.24,318.9258102882534,0.851767
9.26,315.48306853079026,0.8426324
9.28,301.1367841667018,0.80408365
9.3,289.5145654469194,0.8456557
9.32,279.0124948492507,0.84937155
9.34,266.9446318133904,0.7952444
9.36,256.61972937532386,0.80976087
9.38,249.69372753208702,0.7918586
9.4,244.3909373540891,0.83387095
9.42,240.36913863151935,0.84210587
9.44,241.59368450189982,0.8627852
9.46,243.92165798482733,0.85916394
9.48,243.83315810281448,0.8370547
9.5,243.97786731782878,0.8351807
9.52,242.42748081738299,0.80833906
9.54,240.64866487507055,0.8399522
9.56,239.39861628504508,0.88120985
9.58,240.48609954931592,0.84960204
9.6,242.15141768947325,0.8614267
9.62,246.7148820040398,0.81007534
9.64,251.8718182254578,0.8480683
9.66,254.72621140492743,0.7951163
9.68,258.21976181736983,0.83819366
9.7,258.17688367291055,0.81398666
9.72,248.51800175506526,0.684149
9.74,245.30151423801664,0.8722784
9.76,243.36193276337764,0.7784598
9.78,239.2103696097161,0.8654994
9.8,242.02643443357778,0.85067534
9.82,244.45895881172862,0.87175643
9.84,244.0225214671834,0.8673952
9.86,244.54696101129028,0.88216394
9.88,245.12899347322002,0.878005
9.9,244.22848104148812,0.8664375
9.92,250.16517900994427,0.8191459
9.94,257.54406991128565,0.8378748
9.96,263.0680953792943,0.8950604
9.98,266.1971789908576,0.8777061
10.0,263.3149155642965,0.8555073
10.02,254.45111844702194,0.8347751
10.04,248.9123016128509,0.836051
10.06,244.8194277179638,0.7813052
10.08,238.17092163209094,0.7282214
10.1,231.37816725776912,0.64599323
10.12,211.49185962483958,0.3337554
10.14,198.5263601600623,0.62150633
10.16,190.12857403036548,0.5872953
10.18,212.22528909168642,0.6016785
10.2,239.82343750600805,0.344337
10.22,252.04206529378624,0.7209317
10.24,255.70604502313049,0.8800856
10.26,256.3618773996656,0.876973
10.28,255.54327254585837,0.88553774
10.3,252.9587913138965,0.86353445
10.32,251.8814029165307,0.86222684
10.34,253.24025553798822,0.8867672
10.36,252.09008777349857,0.86431336
10.38,247.28484111297502,0.8529738
10.4,241.31014941097303,0.7573128
10.42,232.01371125055522,0.7495962
10.44,221.68649625126142,0.86486256
10.46,213.9341795228632,0.9022257
10.48,211.49810413798164,0.87096304
10.5,211.14488868162914,0.8634442
10.52,214.85672808916465,0.857231
10.54,223.07420730558647,0.78740084
10.56,232.97482400933671,0.8994233
10.58,237.65583535276338,0.8721246
10.6,238.41709176012222,0.8472769
10.62,236.67439825127855,0.853675
10.64,235.47647724759602,0.8697671
10.66,235.52759737687748,0.884463
10.68,238.18756814433385,0.8713007
10.7,242.9588539136039,0.86199653
10.72,243.17841721538008,0.8695904
10.74,240.196988009193,0.8852005
10.76,239.56889211444062,0.8967804
10.78,239.74458839140567,0.9027485
10.8,239.76332480833676,0.9097736
10.82,240.59208108837396,0.8776791
10.84,241.50552169443202,0.8815576
10.86,242.66045238847,0.8821512
10.88,241.5891415203782,0.88778645
10.9,239.8050526942223,0.90014315
10.92,240.32241666679283,0.8802276
10.94,241.06291275989875,0.8745249
10.96,241.3750463705098,0.8336327
10.98,245.34370479346038,0.64519763
11.0,240.54093375632817,0.8056717
11.02,239.40636236225623,0.89518225
11.04,241.46308413778112,0.8874793
11.06,242.8270720302264,0.86686987
11.08,241.15174628074772,0.8724562
11.1,240.75972996154292,0.8875358
11.12,242.60141558790718,0.87667984
11.14,246.6290004064603,0.88451684
11.16,252.71293373855443,0.8559476
11.18,255.15133801666462,0.6901812
11.2,242.92903592228714,0.49045092
11.22,235.379860141616,0.5635154
11.24,234.53060420034035,0.4053865
11.26,250.08083612624975,0.22861545
11.28,273.2463221569914,0.3372135
11.3,318.66101696791236,0.38553756
11.32,331.59009267692477,0.748483
11.34,333.3047275484188,0.8397502
11.36,333.453842973727,0.8100935
11.38,325.3956224527801,0.643159
11.4,301.695552914187,0.6212984
11.42,278.08931771974704,0.7437446
11.44,269.2694592756053,0.85795313
11.46,263.20826219462725,0.8618479
11.48,261.15751966587624,0.8566896
11.5,263.17525580047794,0.8890463
11.52,267.47821928824254,0.8421938
11.54,279.9758240073568,0.8510697
11.56,289.9489934124611,0.8556882
11.58,314.29427805747815,0.5432825
