time,frequency,confidence
0.0,376.3921535056768,0.013913017
0.02,376.5265537586808,0.015818125
0.04,371.0044758816873,0.12160211
0.06,375.90992607620586,0.21088739
0.08,378.87662458636834,0.2883966
0.1,375.3174295998375,0.27265665
0.12,373.9859185558099,0.2918322
0.14,372.29099964995964,0.5974748
0.16,376.7152966464119,0.5988941
0.18,377.53505996570703,0.7296387
0.2,377.13010814377816,0.67606676
0.22,380.0294125660006,0.7747342
0.24,381.913493815848,0.6268507
0.26,385.2103511889436,0.4995409
0.28,385.8786131673977,0.4456283
0.3,383.1670584126414,0.5421257
0.32,384.96652533468506,0.6542784
0.34,383.4971384323458,0.66216797
0.36,383.56928717414223,0.62651813
0.38,382.78581349946415,0.43436527
0.4,385.1034765004562,0.5589156
0.42,382.10735677326176,0.58722764
0.44,382.0047511501651,0.5742077
0.46,380.61550372662543,0.55597264
0.48,376.7521869027305,0.6496495
0.5,378.23308365463896,0.4815613
0.52,384.8558915805367,0.72768486
0.54,386.14118040665755,0.5749647
0.56,385.2509181167943,0.68910635
0.58,386.6192877120402,0.57298774
0.6,383.15945169246254,0.35492277
0.62,380.9773022421292,0.6750349
0.64,381.29425874079266,0.47753713
0.66,383.2700594366182,0.50239384
0.68,382.37519017351747,0.5137254
0.7,381.1814430581489,0.31406337
0.72,378.36066581338,0.28410998
0.74,374.9831600856981,0.65546846
0.76,371.6221267384237,0.5814252
0.78,373.98791692413533,0.49142656
0.8,381.14492256922284,0.36340815
0.82,381.148620594405,0.6692797
0.84,378.46539347665475,0.5764104
0.86,377.4075977178904,0.7381029
0.88,375.4409958303713,0.8101876
0.9,377.53557545286895,0.7868632
0.92,378.03976061305366,0.6841744
0.94,380.3658236152367,0.51431704
0.96,379.6114977996297,0.48044777
0.98,381.4326968439264,0.4105921
1.0,354.3159678424649,0.48080996
1.02,323.6215545547549,0.70438564
1.04,288.38479762499924,0.19433221
1.06,268.51557105424274,0.3009283
1.08,261.4082164058671,0.43290424
1.1,247.26705055102252,0.2980279
1.12,226.69369724153344,0.5327512
1.14,214.468930479173,0.54260415
1.16,198.24570650000052,0.2867699
1.18,192.38849765741236,0.7122116
1.2,191.77964764510364,0.74490154
1.22,191.56329399980518,0.7685016
1.24,190.64306339935678,0.45172036
1.26,177.92855705764225,0.5047318
1.28,151.19665927695723,0.5589283
1.3,140.9551293946605,0.56611705
1.32,141.72041142370125,0.5886779
1.34,142.28075778509427,0.50245833
1.36,143.0412875506749,0.4907682
1.38,146.86084225158714,0.33797997
1.4,159.52237076646702,0.47692332
1.42,181.6043630783436,0.2365812
1.44,181.99573428428465,0.6516551
1.46,181.43941907300962,0.27545208
